DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0,4.1,0,15.7,66.7,2.4,27.8,62.1,123.7,3,180.8,308.8
2,1,4.1,0,16.7,68.3,3.5,28,63.1,127.3,10.5,185.5,312.2
3,1,4.1,0,16.7,69.4,7.7,28.3,65.8,131.3,15,194.2,313.5
4,1,4.1,0.3,17.1,75.2,10.2,28.8,66.1,134.9,21.3,200.4,314.5
5,1,4.1,1.2,17.9,77.2,11.1,29.2,67.2,137.9,25.6,211,315.6
6,1.2,4.1,1.6,18,79.7,12.5,30,67.5,141.6,31.5,218.6,315.8
7,1.3,4.2,3.9,19.7,81.7,13.7,31.6,68.5,143.8,38,225.1,317.6
8,1.7,4.3,4.6,19.8,84.1,15.3,32.9,69.6,145.3,45.1,229.6,322.4
9,1.7,4.3,4.6,20.2,84.6,15.9,33.6,71.4,147.9,48.7,239.8,327.9
10,1.9,4.8,5.7,21.4,86.6,16.3,34.9,72.3,151.8,52.9,245.5,329.8
11,2.2,5.5,7.7,26.1,90.2,17.1,36.7,73.6,155.7,57,247,330.7
12,2.2,5.6,9.2,26.8,94.2,17.2,37,74.6,159.1,61,251.6,331.1
13,2.2,6,10.1,29.2,98.4,18,37.5,75,161.2,67.7,255.2,331.7
14,2.2,6,10.1,30.3,100,19.2,37.8,75.6,166.2,73.9,260.1,332.8
15,2.2,6,11.2,31.9,105.1,19.8,41,76.8,169.7,78.9,261.6,333.1
16,2.2,6,11.4,33,108.5,20,42.7,78.9,174.5,82.2,265,333.7
17,2.2,6,11.7,35.8,110,20.8,44.7,81.3,180.4,87.1,271.2,333.8
18,2.3,7.4,11.8,38.6,111,21.6,45.6,83.1,185.9,90.2,273.3,334
19,2.3,8.8,12,40.2,114.4,22.3,46.6,88,188.4,94.8,278.7,335.1
20,2.3,9.8,12.1,41.8,116.2,22.5,47.3,90.7,192.2,103.4,280.9,337
21,2.3,9.8,13,46.1,117.7,23.2,48.3,93.9,194.1,108.1,283.1,338
22,2.4,10.5,13.3,49.2,119.5,23.9,49.2,96.5,200.2,117.2,285.5,338.3
23,2.4,10.5,13.5,51.4,122.4,24.4,50.9,100.9,206.8,128.3,290.4,339.8
24,2.4,11.5,13.6,52.3,123.8,25.1,53.1,104.6,213.4,132.8,293.3,341.3
25,2.4,11.7,13.6,55.8,126.3,25.2,54.7,106.6,219.2,138.6,296.9,341.4
26,2.4,11.8,13.8,57.4,129.3,25.4,57.1,110.1,223.6,142.1,297.5,342.9
27,2.4,12.7,14.7,58.4,132.6,25.8,58.4,110.9,227.9,150.7,298.3,342.9
28,2.9,12.7,15.1,59.8,135.2,26,59.3,114.2,234.3,157.9,298.9,343.3
29,3,,15.5,62,138.7,26.7,60.3,116.1,241.2,162.6,302.7,343.5
30,3,,15.7,62.6,140.4,27.5,60.4,118.6,246.6,167.6,305.4,343.5
31,4.1,,15.7,,144.4,,61.4,121.3,,173.8,,343.9
