DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.6,7.6,0,7.5,17.2,1.4,60.8,152.4,290,9.5,182.4,429.5
2,1,7.6,0,7.5,17.8,2.8,63.6,159.1,293.5,13.3,192.7,442.9
3,1.1,7.6,0,7.5,18.4,4.5,66.7,162.2,297.6,17.3,201,454.1
4,1.5,7.6,0,7.5,20.2,4.7,69.8,165.3,299.4,27.1,211.3,462.6
5,1.8,7.6,0.8,8,22,7.8,70.5,169.5,299.9,34.5,226.8,469
6,1.8,8,0.9,8.7,24.6,10.7,72.1,174.3,306.1,39,238.2,478
7,1.8,8.6,2.4,8.7,28.8,14.6,75.1,176.8,312.9,42.1,244.9,484.1
8,3,9,2.4,8.8,33.2,15.3,77.3,180.3,316.1,46.9,252.9,489.4
9,3.3,9.1,2.4,8.9,33.3,16.4,77.8,187.6,321.3,51.9,262.2,495.6
10,3.3,9.6,2.4,8.9,34.7,20.9,79.9,191.1,326.9,57.2,274.1,502.7
11,3.3,9.7,2.8,8.9,35.3,22.6,83.2,194.4,330,59.7,281.3,508.2
12,3.4,10.5,3.4,8.9,38.3,24.2,86,198.5,333.5,62.5,291.6,511.1
13,4.9,12.7,3.6,9.4,38.9,26.6,89.5,203.3,337.4,68.7,303.5,519.8
14,6.2,12.8,3.9,9.8,38.9,33.8,92.8,207.9,340.5,72,314,525
15,6.3,12.9,3.9,10,40.1,35.6,96.1,211.5,344.6,76,322.2,529.3
16,6.3,13.4,3.9,10.7,41.1,37,96.6,217.2,348.5,78.2,335,533.9
17,6.6,13.4,4.1,10.7,42.5,38,98,222,353.5,83,341.3,535.8
18,6.9,13.4,4.5,10.7,43,38.8,102.1,228.6,355.2,87.1,344.2,536.8
19,6.9,13.4,4.5,10.7,44.7,40.7,107.3,232.1,360.8,92.8,347.6,541.2
20,6.9,13.4,4.5,10.7,45.8,44.5,107.6,236.6,367.4,98.8,350.1,544.5
21,7.5,13.4,6.3,11.1,45.9,44.8,114.5,241.6,372.2,104.1,354.9,545.8
22,7.5,13.4,7.1,13.5,47.2,46.4,117.1,247.6,376.5,108.4,363.3,548.5
23,7.5,13.7,7.2,13.9,47.9,49.1,122.7,251.9,378.6,114,372.1,551.3
24,7.5,15.6,7.2,14.1,49.3,51.3,125.5,256.1,384.6,119.6,380.1,552.8
25,7.5,15.6,7.2,14.8,50.8,52.7,131.4,260.6,388.8,125,387.5,553.6
26,7.5,16.1,7.2,15.7,51.4,53.1,132.4,264.1,391.4,129.4,396.9,553.6
27,7.5,16.4,7.2,16.5,52.5,53.7,136.4,265.3,395.1,137.7,402.6,553.6
28,7.6,17.9,7.2,16.5,53,54.5,140.8,267.3,399.9,147.8,407.2,554.6
29,7.6,,7.2,16.6,55.1,57.8,143.5,270.8,406.1,160.3,411.8,555.1
30,7.6,,7.2,16.6,56.3,60.2,146.4,272.7,413.3,166.7,418,558.1
31,7.6,,7.2,,56.3,,149.7,284.2,,172.6,,562.5
