DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,5.5,41.9,1.8,27.1,44.5,0.1,47.5,111.2,210.7,2.3,274.9,723.1
2,6.4,42.3,2.2,27.4,45.9,2.3,49.8,114.8,215,2.6,284.6,735.1
3,6.8,42.5,2.3,27.4,46.4,3.3,51.1,117.6,217.6,7.5,299.3,749.1
4,11.4,43.5,3.4,28.6,49.2,5.8,52.4,119,218.5,12.1,325.2,767.5
5,14,44.1,4,29.8,53.7,7.8,54,120.6,221.2,17.1,341.7,787.6
6,15.3,45.9,6.2,31.1,55.8,9.5,55.5,123.7,222.8,23.9,376.1,805.2
7,17.2,47.4,7.3,32.7,61.1,11.3,57.6,126.8,226.3,27,396,814.3
8,18.2,47.4,7.3,32.8,62.4,11.8,58.6,128.9,231,32.9,420.1,825.2
9,18.8,47.4,7.3,32.8,62.4,12.3,59.3,132.6,238.9,39.3,436.5,836.7
10,21.2,48.5,7.8,32.8,63,13.7,60.1,134.2,242.2,40.7,448.5,846.5
11,24.8,49,10.2,32.9,64.7,18.5,65.6,136.8,247.9,43.3,462.7,858.1
12,27.6,49.4,14.7,35.4,64.8,21.5,67.5,138.3,250.5,52.3,475.9,863.7
13,28.7,50.9,20.4,35.8,69.3,24,69.4,142.5,253.4,56.9,489.8,873
14,30,51.7,20.4,35.8,71.9,27.8,72.8,144.3,255.8,63.1,500.3,882.9
15,30.5,52.2,20.6,35.8,73,28.3,73.7,145.1,260.6,67.4,515.3,894.8
16,32.4,53.3,20.6,35.8,76.8,28.5,75,146.7,265.4,72.5,530.4,906.2
17,33,53.8,20.8,36.4,79.1,32,75.2,151.8,271.8,79.8,541.6,913.1
18,33.1,55.4,21,37.7,79.4,32.8,75.7,158.8,278.9,84.3,550.9,920.5
19,33.2,55.5,21.5,37.7,80.3,34.2,77.3,162.5,279.9,93.8,562,925.3
20,33.6,55.7,21.8,37.7,80.9,35.3,79.3,163.8,288,104.8,571.7,929.5
21,35.2,56.4,22.4,38.2,81.3,35.5,82.1,167.6,291.8,113.6,581.1,933
22,35.5,56.4,23.7,38.5,81.6,37.6,84.1,171.9,293.6,123.7,598.2,946.3
23,35.9,56.9,24.2,40,82.4,40.2,87,177.2,294.8,135.2,610.6,959.7
24,36.4,57.6,24.2,40.2,82.6,41.1,91,185.7,296.3,154.9,625.4,964.9
25,36.7,58.9,24.2,41,84.1,41.9,96.6,190.2,301.9,169.1,644.9,971.8
26,36.8,59,24.2,42.2,84.6,42.1,97.1,192.1,305.1,180.8,665.9,976
27,39.2,60.3,26.3,42.9,86.2,44.2,98.9,195,308.2,199.2,678.8,979.7
28,41,62.5,26.3,43,87.3,44.5,102.9,196.6,310.9,211.9,687,983.8
29,41.7,,27,43.7,87.9,45,104.2,202,316,225.9,698.5,990
30,41.7,,27,43.7,89,46.7,108.1,204.4,321.3,243.4,714.3,993.3
31,41.7,,27.1,,89,,108.6,208.3,,260.4,,999.7
