DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,5,47.1,1.3,22.8,54.3,1.3,40.5,100.2,181.6,2.2,274.9,716.9
2,5.6,52.7,1.4,22.9,54.5,2.1,42.1,101.6,183.4,4.8,288.2,728.2
3,5.7,54,1.8,22.9,57.4,3.9,44.5,102.1,185.9,9.3,306.2,747.3
4,7.2,54.3,2.5,24.6,59.5,4.9,45.4,104,188,11.8,327.2,767.1
5,8.6,54.5,5.3,26.4,61.9,5.6,48.2,106.8,189.5,15.5,352.5,781.2
6,10.2,56.3,7.3,27,66,8.6,49.6,108.5,190.4,20.9,375.1,793
7,12.1,57.9,7.8,27.3,68.3,10.2,51.2,110,197.2,23.4,392.6,805.3
8,17,57.9,9.4,27.4,69.4,13.8,53,110.5,200.9,25.6,419.1,817.3
9,20.7,58.1,9.5,27.4,71.1,15,54,112.7,204.3,30.1,434.9,827.4
10,23.9,58.2,11.2,29.1,72.5,15.9,55.4,113.7,208,31.6,448.1,834.9
11,25.6,58.3,13.9,32,73.8,17.9,56.2,116,210,36,467.2,841
12,30,58.5,16.1,36.1,74.8,20.1,58,119.1,212.5,43,482.1,846.7
13,30.9,60.3,18.9,37.4,77.9,22.9,60,122.6,213.8,48.2,496.8,851.1
14,31.4,61.1,19.1,38.1,79,24.9,61.2,123.7,215.6,52.4,505.9,860.1
15,33.8,62.3,19.4,39.2,80.5,26,64.1,124.8,217.8,59.3,522,870.2
16,35.2,64.2,19.5,39.3,83.6,26.1,65.6,128,221.7,66.1,534.7,882.1
17,35.9,64.8,19.8,39.9,85.2,28,67.2,131.8,226.3,73.2,540.3,888.7
18,37.7,65.7,20.1,41.3,86.2,28.7,71.2,132.4,228,83.1,549,897.2
19,39,65.9,20.2,41.4,87.9,29.8,72.5,134.9,231.1,92.3,558.4,904.7
20,40.4,66.7,20.6,41.6,90.1,30.7,74,136.8,235.1,105.2,565,908.6
21,42.2,68.3,20.9,42.4,91.6,30.9,77.1,140.4,239.5,115.8,576.5,913.9
22,42.9,68.4,21.1,43.7,91.8,34,77.9,144.1,245,129.1,586.8,930.1
23,43.7,68.6,21.2,44.9,92.9,35.2,80.1,149.3,247.9,143.3,601.6,938.2
24,44.2,68.8,21.3,46.2,94.4,36.5,82.9,154.2,249.7,159.7,621.7,943.3
25,44.4,70.1,21.6,46.6,96.2,37.1,84.7,157.7,252,166.8,638.7,952
26,44.8,70.2,21.6,48.7,97.4,37.8,85.8,161,256.1,179.6,658.5,957.7
27,45.4,70.3,21.6,48.7,98.3,38.4,87.3,166.4,259.6,199.3,672.9,963
28,45.9,71.6,22.6,48.7,99.9,39.3,91,168.6,264.6,213.3,680.7,968.2
29,46.1,,22.6,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2
30,46.4,,22.7,51.1,100.8,40.1,93.8,176.7,274.9,246.4,702.6,975.4
31,46.5,,22.8,,101.2,,95.2,178.2,,260.9,,976.7
