DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3.7,45.7,2.4,32.1,65.4,0.4,43.7,84.8,160.2,3.7,268.5,747.7
2,4.6,46.1,3.2,32.9,66.2,2.6,45.3,87.6,162.8,8,276.4,757.6
3,7.1,46.4,3.4,33.1,67.7,6.6,46.7,88.9,163.3,12.1,291.4,777.9
4,9.1,47.1,3.6,34.1,69.4,10.3,47.6,89.1,166.4,16.4,315.7,800.9
5,10,47.9,5,36.5,70.8,11.8,48,90.9,167.2,19.9,337.1,812.8
6,12.6,50.1,7.5,37.5,73.4,14,48.3,94.4,169,22.1,363.1,825.9
7,16,52.5,9.5,38.2,75.7,14.7,49.2,95.5,171.4,24.9,383.5,838.3
8,20.4,53,12,38.5,77.2,16.5,50.2,98,174.7,29.7,411,846.1
9,25.8,53.7,12.6,38.7,78.3,17.1,50.9,100.2,177.3,33.3,423.8,854.9
10,29.7,53.7,14.2,39.2,79.1,17.4,51.9,101.9,182.3,35.3,438.3,865
11,32.6,53.9,20.4,39.7,81.2,21.3,52.4,103,185.2,38.4,455.1,870.5
12,34.6,54,22,41.7,82.6,22.3,55.2,106.7,188.6,43.3,476,879.4
13,34.9,55.3,23.9,44.3,83.7,25.2,55.7,109.2,190,49.1,487.7,884.5
14,35,55.5,24.3,44.6,84.1,26.9,57.3,112.3,190.8,55.2,502.7,895.6
15,37.2,56.8,25.1,45,85.6,29.8,57.9,113,192.3,63.7,518,907.1
16,37.5,59.4,25.1,46.6,91.6,29.8,58.4,114.5,195.2,69.8,539.9,921
17,37.8,60.5,26,46.8,93.2,30.6,61.2,119.4,200.9,77.2,546.2,930.5
18,38.9,61,26,49.7,93.7,33.2,62.5,120.3,205.2,82.4,557.3,938.9
19,41,61.9,27.4,51.3,96.6,33.4,63.6,120.8,208.7,93.7,570.1,946.3
20,42,64.3,28.2,51.6,96.9,33.8,64.6,122,213.8,107.5,579.6,951.4
21,42.3,65.7,29.2,53.5,98.8,34,68,125.3,215.8,118.1,590.3,957.4
22,42.3,65.7,29.3,55.3,101.5,36,70.9,129.9,218,129.5,600.1,973
23,42.4,66.1,29.3,58.1,102.8,37.6,71.8,134,222.1,144,608.7,985.1
24,43.1,66.4,29.4,59,103.1,40,73.2,137.9,226.8,162,633.7,990.3
25,43.1,67.3,29.5,60.3,105.8,40.7,74.4,140.3,229.5,173.2,654.8,997.5
26,43.1,67.8,29.5,61.1,106.4,40.7,76.7,142.7,235.1,187.4,677.5,1005.4
27,44.5,67.8,29.5,62.2,107.5,41.5,77.2,146.7,236.6,206.9,700.7,1010.4
28,44.6,69.8,29.8,62.4,108.8,41.6,80.2,148.1,240.1,217.9,709.7,1015.8
29,44.8,,31.8,62.9,108.9,42.5,80.7,151.2,244.2,234.8,720.4,1020.2
30,45,,32,63,109.1,42.5,80.9,154.2,248.1,245.2,734.5,1022.1
31,45.1,,32,,109.8,,82.1,156.7,,255.2,,1024.2
