DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.6,44.2,1.1,23.8,49.7,0.7,35.9,82.4,153.9,3.3,236.9,729.3
2,3.3,44.6,1.1,24.4,49.7,2.3,36.5,84.7,156.3,6.7,251.4,740.4
3,4.4,44.7,1.1,24.4,49.9,4,38.7,85.3,159.6,10.3,272.3,757.6
4,6.1,45,1.7,26.4,50.6,5.5,40.3,87.2,162.7,14.2,304.8,774
5,6.9,46.6,3.1,29.6,51.3,6.9,42.2,88.6,163.1,17.5,331.2,792.7
6,8.8,48.5,5.8,30.2,53.1,10.9,42.7,91.2,164.3,20.5,353.2,802.3
7,11.3,51.5,7.2,30.5,55.3,11.6,43.3,92.3,166.1,22.8,382,815
8,15.3,51.6,8.7,30.5,56.6,13.3,45.4,94.1,169.1,25.8,409.9,824
9,17.9,51.6,9,30.9,58.3,13.8,46.3,95.1,173.8,27,425.3,838.2
10,24.1,51.6,11,30.9,58.9,13.9,46.7,96.2,178.2,29.7,438.4,847.6
11,24.5,52,13.4,31.4,59.2,17.8,47,97.3,182.9,32.2,461.3,853.1
12,29.1,52.3,15,33.8,60.1,19,49.3,99.4,184.2,37.2,470.5,859.9
13,29.8,53.6,17.4,36.8,61.4,22.3,49.7,101.5,185.8,42.7,487,862.9
14,30.1,53.7,18.6,37,61.6,24.5,50.7,102,186.5,46,500.3,875.2
15,31.9,56,19.1,37.5,62.8,26,53.1,103.6,189.4,53,512.3,882.8
16,33.3,57.5,19.4,38.5,66.9,26.4,53.9,107,190.7,58,532.2,888.4
17,33.7,57.7,19.7,38.5,69.2,28.1,56.2,111.6,197.3,63.9,537.8,893.9
18,35.5,58.8,20.1,40.2,69.8,28.9,56.3,112.9,201.3,69.1,551.5,903.4
19,37,60.6,20.3,40.2,73,29.2,58.4,114.9,203.5,77.5,558.4,910.1
20,38.3,63.2,20.8,40.2,73.9,30.3,59.8,116,207.6,88.5,571,915.5
21,39.9,65.3,20.9,42.5,75.4,30.3,63.4,120.4,208.9,99.4,582.5,921.1
22,40.8,65.3,21.6,43.1,76.7,32.7,64.9,124.8,212.6,106.5,588,932.1
23,41,65.3,21.8,45.3,77.2,33.1,66.3,129,214.9,118.8,596.3,941
24,41.9,65.5,21.8,45.4,77.8,34.4,68.6,133.3,219,134,619.4,948.2
25,41.9,67.1,21.8,46.8,78.8,34.9,70,137.4,220.9,143.8,642.2,953.3
26,41.9,67.5,21.8,47.2,80.9,35.1,70.6,139.1,225.7,161.2,666.6,959.3
27,43.2,68.7,21.8,47.7,81.3,35.1,72.9,142.6,227.9,178.9,680,963.7
28,43.5,69.4,21.8,47.7,83.4,35.2,76.4,143.4,233.7,191.2,691.2,970.5
29,43.5,,22.1,47.8,83.4,35.5,78.3,144.7,238.2,205.2,706.8,974
30,43.7,,22.1,48.2,83.4,35.6,79.3,146.8,241.3,216.2,714.9,976.7
31,44.1,,22.5,,83.7,,80,150.7,,227.8,,978.5
