DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3.9,31.8,0.7,19.8,37.5,0.2,20.6,64.8,121.6,1,204,546.9
2,4.8,31.9,0.8,19.8,37.7,0.6,20.7,67.4,122.7,1.8,211.8,554.1
3,5.5,32,0.9,19.8,37.8,1.9,22,70.1,124.7,4.7,225.1,562.2
4,6.3,32.2,2.9,20.9,38,3.1,23.4,70.7,127.2,5.4,248.8,576.5
5,8.3,32.6,2.9,21.9,38.8,4.6,24.5,71.3,128.3,8.2,265,587.3
6,9.9,36,4.9,22.5,39.8,4.7,25,72.9,130.8,9.7,282,601.6
7,11.1,37.6,6.9,22.8,43,5.5,25.7,73.3,133.7,11.8,296.6,611.2
8,13.8,37.8,7.6,22.8,43.1,7.1,27.6,75.1,136.7,13.5,314.7,618.2
9,14.8,37.9,8.2,22.8,43.9,7.3,28.2,76.5,140.6,15.4,325.7,626.1
10,16.4,38,9.1,22.9,44.3,7.7,29.1,77.8,142.5,16.5,335,633.8
11,18.1,39.3,12.6,23.2,44.4,8.9,30.2,79.3,144.3,18.2,348.5,641.3
12,20,40.1,14.1,24.8,48,9.8,30.9,80.7,145.8,23.6,360.3,651.6
13,21.1,41.6,16.7,26.8,49.4,11.2,32.8,82.2,147.4,28.2,370.7,654.7
14,21.3,42.1,16.7,27.8,50.6,13.5,33.2,82.7,150.1,32.4,379.8,662.8
15,22.4,42.2,16.7,27.8,50.7,14.2,35,83.5,151.4,39.1,396.3,672
16,23.2,43.3,16.7,28.2,52.2,14.2,36.2,84.4,159.9,45.6,404.6,680
17,24,44.3,16.7,29.5,53.2,14.7,36.5,85.7,161.2,50.3,411,685.1
18,24.7,45,16.7,30.1,53.6,15.4,36.6,86.9,163,54.3,422.6,692.4
19,25.3,45.1,16.8,30.4,54,15.4,37.1,87.9,164.1,62.5,428.2,696.4
20,26.3,45.5,17.4,31,54.8,15.9,39.3,89.8,167.6,70,434.1,700.7
21,27.1,45.8,18,31.1,55.2,15.9,44.5,94.1,169.9,82.3,439.6,705
22,27.3,45.8,18.7,31.8,55.6,17.9,46.4,98,170,87.1,447.2,716.1
23,27.3,46.7,18.7,34,55.7,17.9,48.3,99.7,171.9,97.2,456,727.4
24,28.3,47.5,18.7,34,55.7,18.6,50,104.4,173.7,112.2,470.3,732.1
25,28.3,48.2,18.7,34.4,57.1,18.6,52.9,106.6,176.5,124.6,490,737.5
26,28.3,48.2,18.9,34.6,57.4,18.6,55.6,108.6,177.3,135.6,504.9,742.2
27,28.3,48.5,19.2,35.5,58.2,19.3,57.7,112.8,178.6,153.8,515.1,744.8
28,28.9,48.7,19.4,35.5,59.1,19.5,58.9,116.2,179.9,165,521.6,747.8
29,31.7,,19.6,35.5,60.1,19.6,59.2,117.1,183.5,175.7,530.9,752.4
30,31.7,,19.6,36.6,60.3,19.6,60.6,119.1,185.7,185.4,539.4,755.3
31,31.7,,19.7,,61.6,,62.1,120.6,,192.7,,756.5
