DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.6,53,1.5,28.8,52.1,0.5,28.5,76.4,149.4,3.8,266.4,697
2,3.3,57.8,1.5,29.2,52.1,0.7,29.6,77.4,151.3,8.6,277.1,711.6
3,3.5,60.2,1.8,29.5,55,2.5,30.4,79,153.7,14.7,292.6,727
4,4.2,60.8,4.4,29.5,58.7,5.1,31.8,80.4,154.5,23.7,313.3,746.2
5,8.3,61.2,8.3,29.7,60.9,6,32.7,80.8,156.3,27.8,331.3,758.8
6,9.6,63.5,10.6,31.5,63.9,10.6,33.2,81.8,158.2,35,354.9,772
7,12,64.9,11.7,32.5,64.9,11.4,33.9,82.5,160.2,42.5,374.9,782.9
8,16.4,64.9,12.6,32.6,66.4,12.9,34.7,82.8,163.1,46.6,394,793.4
9,24.4,64.9,12.8,32.6,68.4,12.9,35,84.8,164.9,52.1,407.3,808
10,28.5,64.9,16,33.3,69.2,13.8,37.1,86.7,167.9,55.4,418.5,817.6
11,30.5,65,21,34.5,69.8,14.6,38.4,89.8,172.3,59.8,433.8,826
12,34,65.9,21.2,36.2,72.2,15.4,41.1,91.5,175.9,64.1,447.4,834
13,34.4,66.8,22.8,38.9,74.6,17.4,43,94.1,177.9,67.7,460.7,840
14,34.7,67.9,23.2,39.2,75.9,18.7,43.4,95.3,178.2,72.3,468.4,848.3
15,38.3,70.1,23.2,40.9,77.4,18.7,45.2,96.2,180.1,78.4,484,857.4
16,39.3,71,23.3,40.9,83.3,18.9,46.2,97.6,185,85.4,498.2,866.8
17,40.3,71.4,23.6,41.2,87.3,19.2,49.1,104.9,186.2,92.6,504.4,874.5
18,41.8,71.5,23.9,42.5,87.9,20.6,50,108.3,190.3,99.8,514.3,883.2
19,42.7,71.7,25.4,42.6,89.8,20.7,52.3,110.5,191.9,109.4,523.4,889.5
20,44.2,73.6,26,43,93,21.4,54.1,111.5,197.9,121.4,532.2,895.7
21,45.4,75,26.2,43,94.1,21.5,58.8,116.3,200.5,132.3,546.1,905.6
22,46.6,75,26.2,44.6,96.4,22.5,59.7,121.3,204.6,143.8,560.7,922.4
23,47.1,76.1,26.4,46,98.6,22.9,60.7,128.5,206,156.8,570.7,936.3
24,47.8,76.9,26.5,46.2,100.3,24.8,61.5,131.1,208.1,170.1,590.7,943.6
25,47.8,78.9,27.6,47.9,101,25.1,63.4,133.2,212.7,180.9,611.6,948.6
26,48,79.7,27.6,48.4,101.9,25.1,65.5,136.3,217.7,190,633.6,955.7
27,48.3,79.8,28.3,48.5,103,26,66.8,140.1,222,198.7,653.1,960.3
28,50.2,80.7,28.5,48.6,103.6,26.3,69.9,142.3,226.8,211.3,664.3,967.6
29,51.3,,28.5,49.6,103.8,27,73.6,144.4,230.7,224.3,676.7,972.6
30,51.7,,28.7,50.4,104.1,27.6,73.9,145,235.5,239.3,684.8,978.7
31,51.9,,28.8,,104.7,,74.6,147.3,,253.1,,981.9
