DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.1,4.1,0.1,11.1,37.9,0.1,18.6,56.4,116.4,2.1,120,206.8
2,2.3,4.3,0.1,12,40,0.9,18.7,57.1,118,4.4,124.1,211.4
3,2.4,4.3,0.3,12.7,40.6,3.3,19.1,58.3,119.8,6.6,128.9,213.4
4,2.6,4.3,0.5,13.5,42.7,3.7,19.8,58.7,121.7,9.3,133.1,216.2
5,2.8,4.3,0.5,13.5,44.7,5,21.6,59.1,122.6,11.2,138.6,216.6
6,2.8,4.3,2,14,46.6,7,22.1,59.8,127.4,12.9,142.6,217.4
7,3,4.3,2.1,15.9,52,9.7,22.4,60.4,129.6,14.1,144.4,219
8,3.1,5,2.3,16.4,53.3,9.9,23,61,131.5,19.6,148.2,219.4
9,3.3,5,2.5,16.5,54,10.3,24.9,62.7,136.5,26.7,151.7,220.4
10,3.3,5,3.1,16.6,54.8,10.3,25.5,63.6,139.3,31.5,153.7,221.2
11,3.5,5,4.3,16.6,57.2,11,26.5,68.2,141.9,35.1,155.1,222.1
12,3.5,5,4.9,16.8,59.5,11.4,26.7,70.8,145.3,36.7,157.9,222.6
13,3.5,5.2,5.2,18.9,62.9,11.9,27.9,71.8,149.3,40.6,163.4,223.3
14,3.5,5.2,6.5,19.5,66.4,12.6,30.7,72.6,154.3,42.9,166.3,224.6
15,3.5,5.7,6.5,19.7,68.7,12.8,32.2,73.6,157.1,46.9,169.7,225.9
16,3.8,5.7,6.6,20,69.8,12.9,32.8,77.8,159.4,49.5,173.3,227.8
17,4,5.7,6.9,21.1,72.9,13.2,33.5,79.4,164.6,53.8,175.1,228.6
18,4,5.7,6.9,21.5,75.7,13.7,33.8,84.4,168.6,57.2,178.6,228.9
19,4,6.1,7.2,21.8,76.5,13.9,36.5,86.2,170.5,63.1,180.3,230.9
20,4,6.8,7.4,22.6,77.5,14.8,36.9,88.3,172.9,67.3,182.8,231.9
21,4,6.8,8.5,25.1,79.4,15.2,39.9,90.1,175,72.6,185.7,232.8
22,4,6.8,9.4,25.8,81.1,15.2,40.2,91.2,177,81.1,186.5,233.5
23,4,6.9,9.4,27.5,83,15.3,42.2,95.7,180.1,85.4,187.7,235.4
24,4,6.9,9.9,27.5,84.8,16.1,44.3,98.5,183.8,90.9,192.6,235.6
25,4,6.9,9.9,30.8,87.5,16.9,47.6,100.8,189.3,93.8,195,236.1
26,4,6.9,9.9,31.8,89.8,17.7,48.4,103.4,192.9,98.7,196.2,236.8
27,4,6.9,10.2,33.5,92.6,18.3,49.2,107.3,196.7,102.6,198.4,236.8
28,4,6.9,10.2,35.1,96.3,18.3,49.8,110,200.5,107.2,199.9,237.8
29,4,,10.2,36.2,97.7,18.5,50.5,112.2,204.7,112.3,203.4,238.1
30,4,,10.2,37.1,99.1,18.5,53.7,113.1,208.6,114.8,205.5,238.3
31,4,,11,,100.5,,55.2,113.9,,116.5,,238.4
