DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.4,4.4,0.1,7.7,48.5,1.5,43.1,120.3,226.5,3.8,133.7,231.9
2,1.6,4.5,0.1,7.7,49.3,2.8,44.6,121.7,229.7,8.3,137.9,236
3,1.8,4.5,0.2,8.8,52.6,4.7,45.3,123.5,232.4,10.2,141.5,236.6
4,1.8,4.5,0.4,9.4,56,5.7,47,124.7,235.9,12.1,145.4,240
5,2.2,4.5,0.6,10.2,58.3,6.9,49.3,129.1,240.1,15.9,154.1,241.5
6,2.2,4.6,1.3,10.4,65.1,10.1,50.5,131.3,247,20.1,161.1,242.5
7,2.3,4.6,1.3,11.4,67.7,10.9,51.6,136.8,252.9,22.4,163.4,244.4
8,2.4,4.9,1.6,12.3,69.1,14.6,53.1,138.9,256.6,29.3,166.5,246.1
9,2.7,5.1,1.6,12.6,71.2,16.3,56.4,144.1,261.5,39,172.3,247.3
10,2.7,5.1,1.6,13.1,74.9,16.8,57.4,145.8,270.8,42,175,248.4
11,2.7,5.1,2,13.6,77.2,20.1,59.3,148.7,277.4,45,177.5,249
12,2.7,5.1,2.5,14.5,81.4,21.6,61.4,150.4,284,47.1,179.8,249.3
13,2.8,5.1,2.5,18.2,84.8,22.5,62.1,154.9,289.6,53.1,187.4,250.4
14,3.3,5.5,2.9,18.5,88.1,24,64.5,157.1,295.9,56,190.1,251.2
15,3.4,5.9,3.2,21.6,90.5,25.4,66.5,160.2,299.5,59.6,191.5,252.3
16,3.8,5.9,3.3,22.3,94.5,25.4,69.7,163,306.1,61.8,196.8,254.5
17,3.8,5.9,3.4,23.6,97.2,27.2,70.5,167.6,312.9,64.4,200.2,255.2
18,4.1,6.3,3.4,24.4,101.2,29.6,71.3,173.3,318.2,68.4,202.7,255.6
19,4.1,6.3,3.8,25.3,103.2,30.3,75.5,177.1,321.7,71.8,204,257
20,4.1,6.4,4,25.6,106.9,31,77.7,180.4,323.9,75.6,205.2,258.3
21,4.1,6.8,5.2,27.3,109.3,33.3,82.2,185.1,329.1,81.1,207.7,258.9
22,4.1,6.8,5.9,28.6,112.6,35.2,84.7,187.6,333.4,84,210.9,259.2
23,4.1,7.1,5.9,29.6,113.7,36.3,90,189.5,336.7,89.1,213.7,261.8
24,4.1,7.1,6.1,30.5,115.1,38.7,97,196.6,340.1,97.3,217.5,261.8
25,4.1,7.1,6.2,34.6,121.8,40.1,100.7,201.1,343.4,101.6,219.6,261.8
26,4.1,7.1,6.3,36.8,123.2,40.7,105.6,205.2,347.1,104.4,220.8,262.3
27,4.1,7.3,6.6,39,127.9,40.9,106.8,208.4,350.8,108,222.2,262.3
28,4.3,7.3,6.6,41.2,132.7,42,109.3,211.3,356.1,114.5,224.8,263.1
29,4.4,,7.3,43.8,134.1,42,111.4,216.9,361.4,121.9,227.3,263.2
30,4.4,,7.3,45.4,138.1,42.3,113.8,219.1,363.4,124.6,230.7,263.2
31,4.4,,7.3,,140.9,,114.3,222.1,,127.4,,264.2
