DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.3,2.6,0,21,78,1.6,38.7,93.6,173.4,4.9,150.1,255.2
2,1,3.1,1.3,22.2,78.7,3.9,38.7,94.7,175,10.1,156.8,257.9
3,1,3.2,1.4,23.6,80.3,7.2,39.3,96.2,179.2,12.9,164.4,259.4
4,1,3.2,1.5,26.1,84.7,9.4,40.5,98.1,181.1,17.3,168.5,260.9
5,1,3.5,3,28.1,88.1,11.8,44.4,99.4,183,21.6,177.5,263
6,1,3.6,3.6,29.4,91.2,14.1,45.4,101,185.5,26.7,182.7,264.1
7,1.1,3.7,4,32.6,94.6,16.5,46.4,104.8,187.7,29.9,188.3,266
8,1.3,5.2,4.6,33.5,96,17.7,48.5,108,189.3,34.4,191.7,266.9
9,1.8,5.3,4.6,34.2,97.5,18.1,49.5,109.7,194.2,40.1,195,268.4
10,1.8,5.3,4.6,34.6,99.7,19.1,52,111.6,197.1,44.2,198.6,269.3
11,1.8,5.3,5.2,35.2,103.6,21,54.3,115.1,201.2,48.1,200.7,271
12,1.8,5.3,6,36.3,105.7,21.5,55.9,116.6,204.6,52.9,201.8,271.2
13,1.8,5.3,7.1,38,110.8,23.4,57.1,118,205.6,57.3,206.5,271.9
14,1.8,6,7.6,39.9,114.3,24.9,59.1,118.9,209.7,61.3,209.7,272.4
15,1.8,6.8,7.7,41,118.8,25.6,61,120.5,213,65.3,211.7,273.2
16,2.1,6.8,7.7,43,122,26.1,62.9,124.1,218.9,68.4,214,275.9
17,2.1,7.2,8,44.2,123.3,28,64.4,127.3,225.6,75.4,219.2,276.2
18,2.4,7.2,8.2,46,126.1,28.8,65.7,131.9,229,79,221.1,276.4
19,2.4,7.3,8.2,47.7,128.5,29.2,67.4,134.4,230.1,83.9,223,278
20,2.4,9.5,8.2,49.7,130.4,29.6,69.8,136.8,232.5,90.1,224.4,279
21,2.4,9.5,10.7,51.4,134.3,29.8,73.9,141.2,240.8,96.5,228.2,279.4
22,2.6,9.5,12.6,52.9,138.8,31.1,74.8,145.8,244.4,101.7,230.1,279.6
23,2.6,9.7,12.8,56.1,141.1,31.8,76.6,148.5,252.2,105,235.2,281.3
24,2.6,9.7,13.1,59.8,143.8,32.9,77.7,154.9,258.9,110.8,239,282.1
25,2.6,9.7,13.1,63.3,147,33.4,80.4,157.1,266.9,118.7,241.5,282.5
26,2.6,9.7,13.1,64.3,151,33.8,82.7,160.1,270.3,125.2,243.3,283.1
27,2.6,9.7,14.8,66.6,157.7,35.3,83.5,162.5,275.2,129.1,244.9,283.4
28,2.6,9.7,15.4,70.7,160.2,35.9,84.4,164.9,283.4,131.4,247.3,284
29,2.6,,17.7,72.1,162.3,38.4,85.4,166.8,289,137.9,250.2,284.1
30,2.6,,17.7,73.8,164.8,38.6,88.7,168.4,293.5,142.6,253.6,284.7
31,2.6,,18,,167.4,,91.2,169.7,,144.7,,284.9
