DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.9,18.2,0.2,16,50.9,3,64.2,156.6,243.3,6.8,175.1,337.3
2,5.9,19.7,0.2,16.3,51.8,3.8,65,157.3,253.3,16,182.7,342.7
3,6,20.3,0.5,17.2,54.1,7.4,65.7,157.7,254.9,22.9,189.9,347.1
4,7.1,21.7,1.4,18,55.9,9.1,65.9,160.3,255.1,25.7,196.9,356.9
5,8.3,21.7,1.7,19,56.2,9.6,70.6,164.1,258.3,32.6,203,360.9
6,8.4,22.2,3.5,19.3,61,12.1,73,167.3,259,36.1,214.4,363.1
7,8.6,22.6,3.7,19.5,64,15.3,78.3,169.7,263.4,39.9,218.8,365.9
8,9.1,23.1,4.1,20.2,68.6,20.8,78.5,171.2,264.2,50.3,231.9,369.1
9,10.8,25.7,4.1,21.1,69.4,25.7,82.9,174.7,265.6,53.4,240.5,374.7
10,11.4,26,4.2,26.4,70.1,29.1,87.8,176.7,273.1,57.9,247.5,378.7
11,12.3,26,4.5,27.4,70.1,31.9,90.9,177.7,278.5,58.6,251.5,383.7
12,13,27.8,6.5,29.1,71.5,33.4,95,177.8,281.2,64.7,254.3,390.5
13,13.3,28.1,6.6,33.2,72.4,36.2,99.8,180.5,284.1,68.3,257.2,393.2
14,13.7,28.6,6.7,33.3,72.8,40.5,102.6,183.2,287.3,73.1,259.9,394.2
15,13.7,28.9,7.3,36.7,73.3,40.8,106.6,185.9,292.2,78.6,264.6,396
16,13.8,29.2,7.7,37.2,77.5,41.5,108.2,189.9,295,82.6,265.5,400.6
17,15.1,29.2,7.7,38.3,77.6,41.5,116.5,192,299.3,84.3,268.6,402.9
18,15.1,29.7,8.4,38.3,80,45.1,117.6,194.7,302.7,95.2,273.7,405.6
19,15.8,30.1,9.1,40.5,82.2,46.1,120,201.7,304.7,100.9,276.1,411
20,17.2,30.3,9.9,41.6,85.6,47.5,122.8,203.7,307,112.5,278.2,414.1
21,17.2,30.3,11.7,42.1,88,48.5,126.4,206.2,309.6,118.2,282.5,417.7
22,17.2,30.8,13.1,42.2,90.7,51,128.9,209.3,315,128.1,290.8,421
23,17.2,30.8,13.8,42.2,92.5,53.4,130.6,211.6,319.7,131.3,296.9,427.5
24,17.2,32.3,14.5,42.5,93,54.1,132.9,217.7,327.7,136.8,302.5,429.1
25,17.2,32.3,14.5,44.4,95,57.9,139.4,220.2,332.8,145.6,311.4,429.8
26,17.2,32.8,14.6,46.7,98.1,59.7,143.5,223,337.4,149,318.8,430.2
27,17.4,32.8,14.6,47.3,98.6,60,146.8,228.7,340.2,155.9,325.9,430.4
28,17.4,33.1,14.6,48.8,98.6,60,149,232.9,345.7,158.7,328.1,431.6
29,18,,15.5,49.3,100.2,62.3,151.2,235.8,351.8,162.9,330,432.5
30,18,,16,49.3,101.9,63.1,152.2,239.5,354.9,166.6,334.3,432.8
31,18,,16,,102.2,,154,242.4,,170.9,,433.4
