DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.4,13.6,1.6,27.7,74.6,0.7,42.3,108.2,195.3,3.4,231.1,405.8
2,0.5,14.3,2.7,28,74.9,4.7,44,110.7,197.9,6,240.2,409.1
3,1.1,14.6,3.3,29.7,77.8,5.4,44.2,111.8,199.2,8.7,251,413.6
4,1.2,15,4.1,30.2,79.4,6,44.6,116.4,201.9,14.6,258.1,419.5
5,1.4,15.3,5.8,31.6,82.2,7.2,47,122,203,18.2,267.6,420.1
6,2.5,15.7,9.4,32.8,86.2,10.1,47.7,123.9,204.8,23.4,277.1,423.6
7,4.5,15.7,9.7,34.9,91.2,12.5,49.6,124.8,207.6,27,285.4,426.2
8,7,16.2,9.8,37.3,94.9,15.2,51.2,125.9,211.1,35.2,294.6,430.4
9,7.6,16.9,10.4,37.8,96.4,15.3,52.4,128.4,214.3,38.5,306.3,432.3
10,8,17.9,10.4,39.2,100.7,15.7,54.8,131.5,216,44,310.2,436.4
11,8,17.9,11.3,39.9,104.1,19.9,56.9,132.6,226.7,47.3,318.5,441.5
12,8.1,18.9,14.2,43.5,106.8,20.3,58.1,134.4,231.8,52,323.6,446
13,8.1,19.4,14.5,45.9,111.3,22,59.3,137.3,234.4,58.9,330.2,448.7
14,8.2,19.4,15.1,47.1,112.5,23.8,61.8,138.6,237.9,68.3,334.3,450.6
15,8.5,20.4,15.8,49.6,114.6,25.7,65.2,139.3,240.1,79.1,338.4,453.5
16,9.1,20.4,17.1,51.8,115.8,25.9,67.4,140.5,243.1,83.5,343.4,456.7
17,9.2,21.4,18.3,52.6,117.5,26.2,71.5,143.3,247.7,91.9,347.6,461.4
18,10.3,21.5,20,54.2,119.2,28.7,73.1,146.2,248.9,101.2,353.9,465.8
19,10.6,21.9,20.9,54.6,122.4,28.7,75.9,150.9,251.4,107,357.7,469.3
20,11.2,23.2,21.1,56.1,123.6,29.5,79.5,154.2,252.2,114.1,362.2,471.6
21,11.2,23.5,21.9,58.7,124.4,29.8,81.1,159.8,254.9,122.3,366.2,472.9
22,11.8,23.5,22.9,61.1,126.3,32.8,83.1,163.8,258.9,132,372.8,476.2
23,11.8,24.1,23.3,62,127.2,34.1,88.8,164.8,263.7,144.4,375.1,480.6
24,11.8,25.3,24.3,62.5,128,36.1,90.4,166.2,268.3,153.4,379.1,482.8
25,11.8,25.4,24.3,64.4,132.4,37.2,94.5,168.6,272,163.8,384.2,484.1
26,11.8,25.4,24.3,66.6,132.5,37.5,95.5,173.5,276.3,173.9,389.4,485.4
27,11.8,25.4,25.3,67.1,134,39,100.6,180.8,281,189.2,393.6,486.1
28,12.6,25.8,25.9,68.1,135.5,39,102.2,185.3,291.4,195.6,396.9,490
29,12.7,,26,71.3,136.3,39,102.8,186.7,294.7,206.3,398.2,493.2
30,12.7,,26.6,71.7,137.7,40.4,103.8,189.1,297.6,213.9,403,493.6
31,12.7,,26.8,,140.5,,104.6,191.1,,219.3,,494.2
