DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.8,15.8,0.4,21.9,63.3,1.1,63.1,158.2,265.1,3.6,184.1,325.3
2,1.1,18.7,0.5,21.9,64.7,3.8,64,159.5,270.9,9.9,191.3,329.4
3,1.1,18.9,0.6,23.4,67.4,8.3,64.9,162.2,275.8,16.5,196.8,332.9
4,1.3,19.3,2.4,24.5,69.1,11.3,65.9,165.6,277.5,24.9,204.7,339
5,1.3,19.4,4.7,25.7,70.6,12.3,72.2,168.4,283.9,29.6,208.5,341.2
6,2.1,19.7,6.2,27.7,73.5,16.3,77.4,172.9,287.7,30.9,214,346.7
7,4.5,20.2,6.9,29.4,75.9,21.3,79.8,176.8,291.7,35.2,219,349.6
8,5.9,20.8,7,31,79.4,25.1,82.5,180,296.3,43.2,224.6,353.7
9,6.9,21.6,7.1,33.1,82.1,26.3,84,181.4,298.9,46.7,229.5,357.4
10,7.3,21.6,7.1,33.6,86,27.2,90.3,184.4,303.7,49.5,234.4,360.3
11,7.9,21.6,8.7,35.1,88,28.7,93.5,187.6,305.7,51.4,238.5,365
12,8.3,22.2,10,38.9,89.7,30.5,96.9,190.3,311.4,58.2,243.7,368
13,8.6,23.2,10,40.6,92.1,31.5,101.3,197.1,317.6,64.7,248.9,369.7
14,8.8,23.5,11.6,41.4,93.6,32.7,102.7,198.7,321.9,75.9,252.6,370.7
15,11.7,23.5,12.9,42.1,95.6,35.6,108.2,201.7,328.4,81.2,256.5,374.4
16,11.7,23.5,14.6,44.2,99.6,36.9,109.5,206.5,332,84.8,260.3,379.5
17,11.8,23.9,14.6,45,101.7,38.7,115,209.4,335.9,89.2,264.9,383.8
18,12.1,24.8,14.8,46.1,103.9,40.7,117.1,212.9,339.1,95.8,270.4,386.6
19,13.1,24.9,15.1,46.8,106.3,42,122.2,216.9,342.2,101.4,273.7,390.2
20,13.5,25.5,15.3,48.4,107.5,43.8,127.1,220,344.9,108.3,278.4,392.7
21,13.6,25.5,17.3,49.3,110.2,45.2,129.8,222.5,346,116,282,395.2
22,14.4,26.3,19.1,49.4,111.6,45.9,132.9,225.9,355,125.8,288.1,396.6
23,14.7,26.5,19.4,49.8,113.5,48.5,134.5,230.8,356.7,129.9,293.9,399.3
24,14.9,27,19.6,52.4,114.6,51.1,138,234.7,362.1,136.8,299.3,400.6
25,14.9,27,19.6,55,118.2,51.9,143.4,239.3,366.1,145.3,306.5,401.6
26,14.9,27.2,19.6,56.3,123.6,52.6,146.8,242.7,369.3,154,310,404.2
27,14.9,27.6,19.6,57.4,126.5,54.3,149.9,247.8,375.3,159.6,313.4,405.3
28,15.2,28.6,19.7,59.4,129.8,55.5,152.4,251,379.7,166.1,316.9,409.4
29,15.2,,20.3,59.5,132.4,57.7,154.2,255,387.7,171.1,318.9,409.9
30,15.4,,20.7,59.9,134.1,60,154.8,256.6,390,177.3,323.8,410.8
31,15.4,,20.7,,137.4,,155.1,260.3,,180.9,,411.6
