DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.2,6.1,0,26.2,77.5,2.1,41.5,109,221.2,2.9,205.1,355.9
2,0.6,7.6,0,26.3,79.4,3.3,43.3,111.1,227.2,5.9,212,358.8
3,0.6,7.9,0.2,27.2,84.4,3.7,43.4,114.2,229.9,9,220.2,363
4,0.6,8.4,2.7,28.9,86.7,4.3,44.2,116.6,232.1,12.9,226.8,365.1
5,0.6,9,5.1,30.5,91.9,6.2,46.9,119.3,238.3,17.7,231.2,366.3
6,0.6,9.1,6.8,31,95,9,48.2,120.4,240.2,21,239.1,368
7,0.7,9.2,7,32.1,97.9,9.6,49.1,120.7,243.2,26.9,248,369.7
8,1.6,9.3,7,32.7,102.7,13.1,49.3,124.1,247,37.6,257.2,373.2
9,2,9.8,7.3,33.6,105.7,13.3,54.8,126.5,249.2,41.3,264.2,374.5
10,2.3,10.7,7.3,35.8,107.3,14.4,58.2,133.8,251.6,47.4,268.4,376.7
11,2.3,10.9,7.8,37.4,109.4,15.5,60.5,135.4,257.9,51.8,274.7,379.6
12,2.5,11.4,9.9,39.4,112.5,17.7,62.9,139.6,262.5,58.2,277.3,382.6
13,2.5,12.2,10.1,40.7,114.3,19.7,63.1,142.3,266,64.9,281.7,385.5
14,2.5,12.7,11.8,43.9,115.5,20.5,65,145.1,271.6,70.2,286.2,387.2
15,2.5,13.1,12.4,46.8,116.8,22.2,69.8,148.1,274.2,76.1,289,389
16,2.6,13.3,14.9,49.7,122.1,22.9,70,151.6,277.8,82.3,292.7,392.2
17,2.8,13.3,15.5,51.3,124.7,27.9,72.9,159,278.8,89,298.7,394.9
18,2.9,14.5,17.2,53.8,125.4,28.2,74.5,165.4,283.6,97.6,303.2,397.1
19,3,14.5,17.8,56.1,127,29.9,76.3,175.3,284.4,104.3,308.7,400.2
20,3,15.1,18.2,57.3,129.2,30.2,78.2,178.1,286.3,112.9,312.6,403.1
21,3,16,19.8,59.7,134.9,31.4,79.6,183.1,289.1,121,315.3,404.3
22,4.7,16,21.5,61.3,136.3,32.4,82.5,186.2,291.6,128.9,319.1,406.2
23,4.7,16.3,21.6,62.9,139.9,33.3,83.4,188.1,295.2,135.8,324.3,409.7
24,4.7,16.6,22.7,64.8,140.7,33.7,87.8,190.2,300.5,142.7,328.8,411.4
25,4.7,16.8,22.7,67.4,147.2,34.6,90.3,194.9,308.5,153,333.9,412
26,4.7,16.8,22.8,68.6,149.3,35.4,95.9,199.9,316.3,160.7,337.9,414.1
27,4.7,16.8,23.1,71,153.5,35.7,97.1,205.3,321.9,166.8,342.4,414.8
28,5.9,17.1,23.5,72,154.1,36.1,98.7,210.5,329.8,176.5,346.5,416.4
29,5.9,,23.9,74.2,159.7,37.5,102.1,215.3,334.6,182.4,348.7,417.3
30,6,,24.1,74.7,163,38,103.1,217.9,339.8,190.5,353.2,417.6
31,6,,24.3,,164.5,,105.6,219,,198.3,,417.8
