DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.2,27.7,1.4,30,78.7,1.1,33.6,100.2,196.6,10,239,514.2
2,1.4,31.6,1.6,30.5,81,1.9,34.5,102,200.9,13.5,245.4,521.4
3,1.7,33.1,2.3,30.7,83,4.8,35.4,102.4,204.4,17.6,257.7,535.2
4,2.3,34.2,4.7,31.1,91.1,6,36.8,104.2,205.3,22.9,270.5,545.5
5,3.3,35,5.7,33.9,97.9,6.5,37.9,104.6,209,28.2,282.6,549.4
6,4.5,36.4,10.5,36.5,102.2,8.8,38.7,108.2,211,34.4,295.4,558.7
7,6.1,38.8,12.6,37.8,106.8,9.9,40.4,108.7,213.6,41.3,306,567.6
8,8.3,40.6,12.8,38.3,108.1,12,44.2,109.9,216.2,47.2,315.5,571.4
9,10.9,41,13.5,38.4,110.6,12.8,46.2,114.7,220.2,52.5,324.7,577.8
10,12.5,42.2,15.1,39.8,111,15.5,52.1,117.2,222.8,56.9,334.1,585.1
11,13.3,42.2,15.6,42.3,114.4,16.3,54.4,119.8,225.7,62.2,339.5,593.7
12,14.5,42.6,16.6,44.3,114.8,18.3,55.8,123,228,66.3,348.6,599.3
13,14.8,44.8,17.5,48.1,116.8,18.8,56.8,126.9,231.9,69.3,354.6,600.9
14,15,45.9,17.7,49.4,119.7,19.4,59,129.2,233,75.6,359.4,608.1
15,16.5,46.6,17.8,51.2,122.9,20.3,60.3,133.3,237.3,83.1,368.7,615.2
16,16.9,47.2,18.8,52.1,125.5,20.9,62.5,135.2,242.8,88.5,380.5,623.1
17,17.7,47.7,18.9,53.6,127.4,21.6,66.2,141.8,248,94.9,385.5,628.7
18,19.1,49.8,19.3,55.9,128.6,23.8,67.7,143.9,252.8,99.4,390.9,634.3
19,19.9,50.5,20.2,56.3,130.1,24.6,71.4,147.2,259.6,107.8,398.6,639.4
20,21.2,52.4,21.1,57.2,132.5,24.9,74.2,148.6,264.4,116.7,403.1,641.9
21,22,52.6,21.4,57.5,133.5,26.2,75.5,155.6,269.2,125.8,413,646.6
22,23.7,52.6,21.6,58.9,134.5,26.7,78.9,159.2,275.1,133.2,421.5,655
23,23.8,53,23.2,61.8,134.6,28,79.2,165.2,281.5,144.7,427.5,666.9
24,24.2,53.2,24.3,64.3,135.7,29.2,81.9,167.4,285.6,157,440.4,669
25,24.5,54.1,24.3,68.9,137.2,30.3,84.1,169,290,167,451.3,672.1
26,24.6,54.2,25.7,69.2,137.5,30.7,88.3,171.5,297.1,178.7,464.6,674.3
27,25.2,54.4,25.7,69.9,139.1,31.2,90.2,176.5,304.5,191.3,482,677.7
28,25.4,56.5,26.8,70.2,139.6,31.6,93.2,178.6,311.8,199.2,489.3,683.3
29,26.6,,27.7,73.1,141.3,32.6,94.3,185.4,318.2,209.3,498,684.8
30,26.6,,27.9,75.6,142.8,33.1,95.3,190.4,325.5,217.8,505.6,685.6
31,26.7,,29.9,,145.5,,96.8,193.6,,230.1,,686.5
