DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.8,11.7,0,14.8,44.7,0.8,25.6,73,160.8,3.3,148.3,307.7
2,1.3,11.8,0.5,14.8,46,3.8,25.9,74,165.3,7.4,152.3,311.6
3,2.2,11.9,2.1,15.1,46.5,5.2,26.6,74.6,167.6,10.7,159.1,314.8
4,2.4,12.2,3,15.7,47,6.1,26.7,75.9,170.7,17.1,170.5,322.3
5,2.7,12.2,3.5,17,48.7,7.6,29.1,77.9,172.2,20.7,177.4,325.5
6,2.8,12.9,4.7,17.8,51.8,10.2,30.2,81.1,178.2,23.7,182.8,330
7,3.8,13.3,4.9,18.1,54.2,10.5,31,84,182.1,29.2,186.3,334.5
8,4.2,14.3,5.5,18.5,57.3,11.1,31.3,84.9,187.2,33.6,191.8,338.7
9,5.7,14.3,5.5,19.4,58.5,11.5,33,87.5,189.6,38.2,199.3,342.1
10,6.2,14.8,6.1,19.7,59.8,11.9,35.4,87.8,192.5,39.5,203.1,346.9
11,6.4,14.8,7.2,19.7,62.8,12.5,37.2,88.8,197.3,44.4,206.4,350.2
12,6.9,14.9,7.7,20.7,65.1,13.6,39.1,90,203.7,48.1,211.6,351.9
13,7.1,15.2,7.7,23.8,68.2,15.2,39.7,95.2,206.6,49.6,215.4,354.3
14,7.6,15.7,9.1,24.2,69.3,16.1,42.7,96.9,212.6,53.7,219.9,356.2
15,8.6,15.9,9.4,24.7,71.9,17.2,43.9,100.7,215.7,56.1,226,360
16,9,16,9.5,25,74.5,17.4,45.9,104.4,223.6,61,228.6,364
17,9.1,16.2,9.6,25.7,75.2,18.4,47.5,110.5,230.1,64.6,233.5,365.9
18,9.2,16.7,9.6,28.7,78.8,19.5,49.4,116.1,234.4,68.5,237.1,368
19,10.1,16.7,9.6,30,81.4,21.1,53.9,119.2,238,72,240.9,371.9
20,10.3,17,9.8,30.5,85.6,21.3,54.7,122.6,242.3,78,245.4,373.5
21,10.3,17,10.1,30.7,86.2,21.4,57.1,127,244.5,83.1,250,376.9
22,11.1,17,10.3,32.8,87.7,22,59.6,129.9,246.3,90.4,261,380.5
23,11.1,17,10.4,33.8,90.1,22.1,60.6,131.5,251.5,95.4,263.8,384
24,11.1,17.3,10.4,34.1,91.5,22.6,63.3,135.8,252.8,104.1,269.9,385.1
25,11.1,17.5,10.4,36.3,95.2,22.7,64.8,141.2,257.2,107.4,278.6,386.6
26,11.1,17.5,11.1,37.8,97.8,23.1,66.1,145.1,260.2,111.9,282.8,388.4
27,11.1,17.6,11.1,38.4,99.5,23.5,66.3,150.5,263.9,119.1,288.4,388.5
28,11.2,17.9,11.2,38.6,101.3,23.7,67,153.5,267.4,123.3,293.2,390
29,11.5,,12.5,39.4,102.9,24.1,68.7,155,272.1,130.5,297.8,391.2
30,11.5,,12.5,40,105.2,25.1,69.4,156.3,274.4,136.3,303,391.7
31,11.5,,14.3,,107.7,,69.9,158.7,,140.9,,393
