DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.5,29.7,0.5,16.5,45.6,1.3,46.7,124.2,243.7,4.7,199.1,525.7
2,2.9,29.9,0.5,16.5,45.8,2.6,48.9,125.1,248.8,6.4,206.4,534.7
3,3,31.6,0.5,16.5,47.8,4,49.1,125.3,250.9,7.5,213.4,545.6
4,4.1,31.6,1.8,18.5,51.8,5.9,50.4,128.9,251.6,12.1,235.4,557.6
5,6.1,33.1,2,19.5,52.4,9.1,52.1,132.1,255.1,14.1,246.5,574.7
6,7.5,34.5,3,19.9,57.9,11.2,53.9,138.3,257.9,17.7,268.5,588.8
7,9.2,35.4,3.5,20,63.9,16.4,56.9,139.9,266.2,22.4,282.9,601.2
8,10.6,35.7,3.7,21.5,67.3,17.5,57.4,142.1,272.6,31.5,302.7,608.4
9,12,36,4.1,21.8,69.1,18.4,58.9,146.6,278.6,35.8,312.3,618.1
10,13.3,36.5,5,22,70,19.3,61.3,148.4,285.6,39.8,324.4,632.7
11,13.7,36.8,8.2,22.1,72.7,23,63.9,150,290.8,41.4,332.6,641.8
12,15.3,37.1,10.5,24.2,74.4,24.3,69.9,153.4,293,43.7,342.9,645.8
13,17.2,38.2,11.9,25.3,74.9,27.4,74.5,159,295.4,48.9,352.5,652
14,19.9,38.4,13.4,27.1,75.7,29,75.6,164.5,298.3,52,359.5,660.6
15,20.5,38.5,13.7,27.2,76.8,29.7,77.9,173.3,299.4,54.7,371.5,673.4
16,21.8,38.8,13.7,27.3,94.5,30,79.3,174.9,300.5,55.9,378.8,687.5
17,22,39.9,14.3,27.3,99.7,31.8,80.5,184.1,307.5,60.8,384.4,690.8
18,22.1,41.4,14.3,31.7,99.9,32.2,81.9,189.5,312,62.7,392.6,695.3
19,22.4,41.9,14.4,31.7,101,34.3,84.3,189.8,314,66.5,404.1,701.2
20,23.2,44.2,15.1,31.8,102.3,36.6,87.6,194,321.6,72.7,408.4,706.1
21,23.7,44.2,15.3,32.4,104.9,36.7,93.9,198.4,323.9,81.4,417.5,711
22,24.6,44.4,15.9,33.1,105.3,38.1,96.5,200.7,325.4,89.7,433.9,720.2
23,24.6,44.5,16,35.2,106.4,39.2,102.6,203.3,327.6,95.8,441.6,733.1
24,25,45.2,16,35.2,107.1,40.6,106.1,211.3,337.2,110.2,455.6,736.2
25,25.3,45.3,16.5,39.7,109.2,40.8,107.9,215,338.5,122,467.4,739.4
26,25.5,45.3,16.5,43,111.9,41.3,109.4,219,344.7,128.4,481.8,743.1
27,26.5,46.6,16.5,43.1,114.2,42.4,111.3,227.5,348.4,142.1,491.7,746.2
28,27.4,48.2,16.5,43.7,115.9,43.4,114.7,228.8,355.9,152.8,505.9,750.8
29,28.1,,16.5,44.5,116.8,45.8,116,234.1,361.2,166.8,512.7,754.2
30,28.6,,16.5,44.6,120.6,46.3,119,240.3,367.9,172.5,520.2,755.5
31,29.2,,16.5,,121.6,,122.2,242.4,,187.7,,758.8
