DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.7,20.7,0.2,14,37.7,0.7,37.4,99.4,200.7,3.1,185.3,466
2,1.7,21.1,0.8,14.3,38.5,2.5,38.6,102.9,203.2,6.1,190.2,472.8
3,1.8,21.7,0.8,14.3,38.7,3.3,40.6,104.1,205.8,10.1,200.2,480.8
4,1.9,22.5,1.7,15.7,39.8,6.7,41.5,105.4,208.9,13.9,218.6,490.3
5,3.4,24,2.4,16.1,42.1,8.4,44.7,107.4,211.6,16.6,229.2,504.5
6,4.3,25.3,4,16.9,44,12.6,47.2,110.1,214.4,20.9,245.6,515.2
7,5.5,26,4.6,17.3,46.9,14.5,52.4,110.4,219.7,24.2,254.1,520.5
8,6.3,26.4,4.6,17.6,48.8,15.3,52.9,114,226.7,28,270.7,525.9
9,6.9,26.5,6.2,17.9,50.5,16.3,53.9,116.5,232.9,30.7,280.5,533.3
10,9,26.6,6.9,18.1,53.3,17.1,56.8,117.7,235.8,34,287.1,542
11,9.3,26.7,8.3,18.4,54.8,19,58.3,118.9,240.3,38.4,293.5,546
12,10.4,27.1,10,19.7,56.2,20.7,59.8,122.6,243.1,40.5,302.6,549.7
13,11.2,28.7,10.4,22.5,57.9,22.7,61.2,124.7,244.6,43.8,312.5,553.7
14,12,29.3,10.6,23,58.7,24.7,62.9,128.6,249.5,49.8,319,558.6
15,13,29.8,11.9,23,58.9,26.3,64.4,130.3,253.4,53.5,327.7,565.4
16,13.6,30,12.3,23.1,61.1,26.3,66.4,133,257.5,56.1,332.8,571.6
17,13.7,31.2,12.3,24,62.9,27.4,67.5,140,263.3,59.3,337.4,577
18,14.2,32,12.3,26.9,63.7,28.7,68.2,142.7,267.8,65.7,343.7,583.5
19,15.7,32.5,12.4,27.6,65.5,29.1,69.6,145.7,270,73,351.7,589
20,16,33.1,12.6,27.7,66.2,30.8,71.2,149.3,273.7,81.2,356.5,591.3
21,16.5,33.8,12.8,27.9,66.9,30.8,74.2,154.7,275.3,87,365.1,594.7
22,17.5,34.2,13.2,29.5,68.1,31.5,76.2,160.8,278.3,92.8,373.3,601.9
23,17.5,34.3,13.4,30.7,68.6,31.9,80.2,165.4,280.5,99.3,381.6,608.7
24,17.6,34.4,13.4,30.9,69.2,33.3,84,168.4,281.8,110.4,397.9,612
25,17.7,35.1,13.6,34.2,70.5,34,84.9,171.1,287.8,116.6,411.6,614.7
26,17.7,35.3,13.6,35.3,72.3,34,85.5,176,293.1,122.1,424.8,618.8
27,19.2,35.4,13.6,35.3,74.6,34.5,87,183.6,295.7,135.9,436.1,620.4
28,20,35.6,13.7,35.4,76.7,34.7,90.6,186,299.3,143.9,443.4,625
29,20.4,,13.7,36.2,77.2,34.8,92.9,188.7,305.9,158.7,449.1,627
30,20.6,,13.7,37.4,78,35.9,94.9,191.9,308.6,168.6,459.3,628.2
31,20.7,,14,,78.6,,96.3,195.9,,176.4,,631.1
