DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.7,27,2.4,27.6,69.6,1.1,30,86.2,172.3,3.5,195.2,457.2
2,1.9,30.3,2.9,27.8,71,1.7,30.3,87.5,175.3,9.9,204.5,467.3
3,1.9,32.7,3.6,28.3,71.5,2.8,31.3,88.3,178.2,13.8,216.1,476.1
4,3.3,33.3,5.7,28.9,72.9,3.8,33.3,89.1,178.9,19.3,226.6,487.4
5,4,34.2,6.8,31.1,74.1,3.9,33.8,90.1,180.2,23,235.8,493.9
6,4.6,35.5,9,32.4,78.2,5.9,34.1,92.8,183,27,248.1,500
7,6.4,36.8,13,35.3,80.7,7.2,36.1,93.4,185.3,32.6,257.8,513.3
8,8.4,37.9,13.3,36.4,82,9.7,37.8,95.8,188.1,36.8,271.2,519.2
9,10.5,38,13.6,37,84.3,11,39,97.9,190.9,40.8,280.7,525.3
10,12.8,38,16.1,37.5,87.3,12.2,42.7,99.6,192.9,43.5,288.8,532.4
11,13.8,38,17.4,39.5,92.1,13.3,45.3,101.5,196,47.8,292.6,538.5
12,15.3,38.3,18.2,43.5,93.2,14.6,48.1,104.4,197.6,51.8,300.6,544.2
13,15.3,39.7,18.6,45.8,94.8,16.3,48.8,108.8,200.6,55.1,310.1,546.5
14,16.1,40.2,18.8,46.8,97,17,50.3,110.4,202.5,59.7,316.4,550.9
15,17.8,40.5,18.8,48.4,98.9,18,51.6,114.5,206.6,64.2,326,555.4
16,18,40.9,19.9,50.3,101.4,18.5,52.5,119.4,211.1,68.8,335.2,561.6
17,18.5,41.5,20.8,50.7,103.6,19.4,57,125,215.6,74.5,342.6,568
18,19.2,42.2,21,54.8,104.3,20.9,58.3,126.2,217.9,79.4,348.7,573.4
19,20.2,43.3,21.3,55.2,105.7,21.6,60.3,131.6,224.5,85.5,356.8,578
20,20.8,44.5,21.7,55.8,107.5,22,62.2,134.2,230,94.1,361.2,581.4
21,22.5,44.8,21.7,57.1,108.5,22.8,64.1,138.7,233.1,103.6,372.5,584.8
22,23.6,44.9,21.8,58.4,109,23,65.7,142.2,237.4,109.6,379,594.6
23,23.9,46,22,59.8,109.5,24.5,66.5,147.5,241.1,118.2,384.9,607.9
24,24.4,46,22.7,60.8,110.9,25.2,69,153.1,243.8,129.6,394.5,610.6
25,25.6,47.1,22.7,63.1,112.1,26.1,72.7,154.9,246.3,138.2,406.8,613.3
26,25.6,47.2,23.5,63.9,114,26.6,76,157.3,250.3,148.1,417,615.8
27,26.1,47.2,23.5,64.3,115.7,27.1,78.4,162.3,257.7,155.7,427.9,618.1
28,26.3,48.1,23.9,65.2,116.1,27.6,80.8,164.1,260.6,161.4,433,622.1
29,26.7,,24.1,66.3,116.5,28.2,82.1,165.1,266,170.8,440.7,624
30,26.7,,24.9,66.9,116.8,28.4,82.5,167.6,269.3,179.2,449.7,624.8
31,26.7,,26.2,,117.2,,84.7,170,,187.8,,625.3
