DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.7,23.3,1,15.2,42.1,0.9,35,91.2,193.5,0.7,171.5,434.2
2,0.7,28.9,1.2,15.3,43.4,1.9,36.6,91.7,200.4,5.6,175.5,441.2
3,1.2,29.1,2.4,15.3,44.3,2.8,38.1,93,204,9.2,186,450
4,1.8,29.1,3,15.9,47.3,3.4,40.4,96.4,208.3,13.8,205.8,457.5
5,2.7,29.7,3.5,16.4,49.2,4,42.9,96.9,211.2,17.8,220.5,467.7
6,3.4,30.9,5.3,17.2,52,6.6,43.8,99.8,214.1,20.4,232.3,470.8
7,5.5,32.3,6.4,18.6,55.1,8.5,45.5,101,217.7,24.9,239.7,474
8,6.5,32.9,6.5,20.9,56.6,10.3,46.3,106.1,220.4,28.1,254.9,480
9,8.4,33,8.2,21.1,59.6,10.7,49,107.7,223,30.6,265.5,488.2
10,11.8,33.2,8.7,21.5,61.9,12.9,51.3,109.7,226.8,33.8,273.2,497.4
11,12.7,33.3,9.7,22.5,63.3,15.8,52.4,112.7,231.9,37.1,279.2,501.3
12,13.5,33.4,10.5,24,63.7,16.5,55.1,113.9,236.1,42.3,285.2,504
13,13.7,34.2,10.8,24.8,64.5,19.2,56,120.8,239,46.1,290.6,506.2
14,15.4,36.4,11.1,25.8,64.8,20.8,57.1,123.8,240.8,49,296.3,509.8
15,16.2,36.8,11.7,26.4,66.2,21,58.6,125.6,243.4,52.4,307.8,516.4
16,16.7,36.8,12.6,26.4,69.5,21.4,58.9,129.9,246.5,57.4,312.8,521.9
17,17,37.5,12.8,26.7,70.6,22.8,59.4,135.4,250.7,61.3,317.4,525
18,17.9,38.2,13,30.5,70.7,24.1,61.3,138.2,254.7,64.9,323.4,529.3
19,19.1,38.8,13,31.2,72.7,25,63.6,140.9,259.7,72.5,330.1,534.8
20,19.9,39.7,13.1,32.4,74.5,25.4,63.6,143.9,262.5,77.7,335.6,536.6
21,20.7,39.8,13.2,32.7,74.6,25.7,65.5,149.9,265.4,82.5,341.8,540
22,21.4,39.8,13.8,34.9,75.6,28.5,67.1,155.2,270.9,87.5,350.3,548.3
23,21.6,39.8,14,35.8,75.8,28.9,67.9,157.8,274.9,95,356,561.2
24,21.7,39.8,14,36.5,77,31.1,70,162.2,276.5,104.5,367.5,563.2
25,21.8,40.9,14,39.3,77.7,31.3,72.5,166.6,279.5,110.7,379.4,565.2
26,22,40.9,14.2,39.4,80.3,31.5,73.9,169.4,285.7,117.4,391.6,569.1
27,22.4,40.9,14.2,39.7,81.2,32.2,78.1,172.2,289.5,128.3,405.2,571
28,22.6,42,14.2,40.6,81.5,32.9,79.8,175.3,294.4,134.4,412.2,575.7
29,22.7,,14.2,40.9,81.8,34,81.4,177.3,297.9,148.2,418.8,578.3
30,23,,14.7,41.1,84.1,34.2,82.2,184.5,299.9,154.1,427.4,578.9
31,23,,14.9,,84.6,,83.4,188.5,,162.6,,582.2
