DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.8,24.4,0.1,25.4,68.5,0.6,33.9,99,191.7,3.6,182.8,438
2,1.5,29.2,0.2,25.9,69.2,2.2,35.1,100.7,193.1,9.3,189.1,445
3,1.5,29.5,1.1,25.9,69.7,3.5,35.5,101.1,197,13.6,200.8,453.6
4,2,29.7,2.9,26.4,74.3,4.6,38,104.7,198.9,18.9,213.2,464.8
5,3.2,31.1,5,30.3,80.7,4.9,39.6,105.4,200.2,24.4,222,472.3
6,4.1,32.4,7.8,32.2,83.9,6.6,40.3,109.4,203.2,27.7,233.6,477.1
7,6,33.2,8.3,34.9,87.5,9.9,41.8,110.2,205.3,32.7,242.9,486.9
8,7.1,35.1,10.3,35.1,88.9,11.3,43.9,112.7,207.8,36.2,256,492.1
9,9.2,35.4,11,35.7,92.4,12.3,45.4,116.7,215.3,37.6,262.5,497.6
10,10.9,35.8,12.8,37.3,93.8,15.8,50.5,118.9,217.8,41.1,272.3,504.4
11,11.6,35.9,13.7,39.1,97.6,16.8,52.9,120.5,221.3,46.8,277.6,509.5
12,13.2,36.1,14.4,42.9,98,18.2,54.4,124,224.5,50.8,286.2,516
13,13.4,38.1,15.5,44.2,99.2,18.9,55.1,128.4,229.1,54.3,293.7,518
14,13.9,38.7,16.4,45.8,101.4,19.4,58.7,130.5,230.9,60.1,301.6,522
15,15.5,39.6,16.4,47.4,103.8,21.4,61.9,134.3,235.3,65.7,310.9,526.5
16,15.7,40,17.9,48.7,105.6,21.6,64,136,240.1,68.8,318.3,533.2
17,16.3,41.1,18.2,49,107.6,22.5,67.7,140,243.7,72.2,323.4,538.8
18,17.2,42,18.4,51.6,108.8,24.7,69.3,142.5,246.3,77.1,329.3,543.9
19,18.2,42.5,19.2,52.1,110.5,26.7,74.7,147.4,251.5,84.6,336,548.6
20,19.4,44.2,20,53.6,111.8,27.2,76.4,149.5,255.7,92.1,340.4,551.4
21,20.5,44.6,20.4,55.6,114.1,28.7,78.3,153.1,259.2,97.8,348.1,556.8
22,21.7,44.6,21,57.6,114.6,29.4,79.4,157.2,265.1,104.1,356.1,564.6
23,21.8,45.8,21.4,60.1,114.7,29.6,82.5,162.5,269.5,111.3,363.1,574.3
24,22.2,45.8,21.7,60.3,115.4,30.1,85.7,165.4,277,120.8,374.8,576.9
25,22.4,46.1,21.7,62.4,116.7,30.8,87.3,166.8,279.9,129.8,386.2,579.8
26,22.4,46.3,23.2,62.7,118.6,31.2,89.8,170.2,283.3,139,397.3,582.1
27,23.1,46.3,23.2,63.4,119.5,32,91.2,175,289.2,148,412,584.3
28,23.4,47.5,23.2,64.1,119.8,33.1,92.4,177.8,293.5,153,417.6,587
29,23.9,,24,66.7,121.2,33.4,93.1,181.1,299.8,160.9,423.8,588.6
30,23.9,,24.7,67.4,121.5,33.6,94.3,185.5,303.7,168.9,430.6,589
31,23.9,,25.1,,122.6,,96.1,189.3,,176.7,,589.6
