DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.9,25,1.1,20.8,53.1,0.8,26.5,82.6,164.5,1.8,164.2,408.5
2,3.1,31.1,2.5,21.1,53.8,2,27.8,84.4,165.8,6.4,171.4,416
3,3.3,33.2,2.5,21.4,54.7,3.3,28.9,85.4,168,11.4,179.9,423.1
4,3.8,35,5.6,21.6,57.8,3.6,29.4,88.6,169,14.9,189.9,434.2
5,5,35.9,6.6,22.4,60,3.8,30.5,89.2,170.6,17.9,196.7,440.4
6,6.3,36.4,10.4,23.7,61.6,6.4,31.2,91.3,173.4,20.8,209.1,447
7,8.6,36.9,11.3,25.4,64.6,8,33.4,91.9,175.7,23.8,217.5,452.8
8,10.2,38.1,12.5,25.7,65.1,10.1,34.6,93.9,179.5,28.8,228.9,456.7
9,12.5,38.1,12.8,27.1,66,10.7,36.5,96.9,183.2,30.2,237.2,464.7
10,14.1,38.5,13.2,28.1,66.8,12.6,38.8,98.3,186.4,33.7,247.5,473.7
11,14.8,38.7,13.5,32,69.1,12.9,40.7,100.9,188.9,36.4,257.1,480.1
12,15.9,39.1,14.6,34.3,69.5,14.5,42,102.7,192.3,38.7,266.1,486.6
13,16.1,41,14.8,35.5,73.2,15.5,43,106.7,194,41.5,275.7,489.7
14,17,42.5,14.9,35.7,74.3,16,46.5,108.4,195.9,44.7,282.8,492.7
15,18.4,43.1,14.9,36.6,75.5,16.9,47.9,110,198.7,48.6,290.7,497
16,19.1,43.4,15.3,36.7,76.8,17.4,50.4,111.3,202.2,52.7,298.9,502.9
17,19.4,43.7,15.5,36.8,78.3,18.3,53,117.2,203.9,56.7,302.2,506.9
18,20.2,44.2,15.7,39.7,78.9,19,54.2,120.3,206.1,63.9,307.9,511.2
19,21,44.2,16,40.6,81.5,19.1,56.8,123.5,209.6,69.6,315.9,516.7
20,22,45.6,17,41.3,83.9,20.3,58.4,125.7,214,73.5,323,520.3
21,22.4,46.2,17.5,41.8,84.6,20.7,59.8,128.5,216.6,80.6,331.5,522.2
22,22.9,46.2,18.6,43.8,85.2,21.5,61.6,132.4,220.9,87,339.8,528.1
23,22.9,46.2,19.4,45.2,85.4,22.8,62.8,135.6,223.6,93.2,344.8,536.1
24,22.9,46.5,19.6,45.3,86.1,23.1,66.6,139.8,229.9,105.4,353.8,538.1
25,22.9,46.8,19.6,46.7,88.4,23.4,69.2,143.9,233.2,114.6,366.5,540.2
26,23,47,19.6,46.9,89.9,23.7,72.7,146.4,239.1,120,375.4,542.4
27,23.8,47,19.7,50,91.2,24.3,74.7,153.3,242.5,129.7,388.4,545.6
28,24.3,47.2,20.4,50.7,91.7,24.7,76.5,155,249.2,133.5,392.1,548.8
29,24.4,,20.8,50.9,91.9,25.5,77.3,156.2,254.8,140.8,398.3,550.7
30,24.7,,20.8,51.7,93.3,25.9,77.7,158.8,259,148.5,403.9,551.7
31,24.7,,20.8,,94.1,,79,161.6,,157.5,,552.5
