DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.7,12.8,0,11.5,37.7,1.9,37.6,97.1,212.7,2.8,200.7,458.1
2,0.8,12.9,0,11.6,40,1.9,39.1,98.5,215.4,11.1,206.1,465.9
3,1,13.6,0.3,11.6,40.7,3.4,41.3,100.3,218.2,16,215.7,473.6
4,1.6,13.6,1.6,12.1,47.4,5.1,42.5,102.7,221.4,22.5,231.6,484.3
5,2.5,13.8,2.8,12.8,49.8,6.2,43.9,104.9,222.4,28.7,242.9,492.2
6,2.8,15.7,4,13.7,52.3,9,44.4,107.4,226.1,32.4,258.7,496.4
7,3.1,16,5,14.4,55.3,12.6,46.8,110.4,228.1,35.7,266.1,501.2
8,3.1,16.4,5.8,14.6,57.1,12.8,48.4,113.5,232.9,42,276.5,504.1
9,4,16.7,5.9,14.8,59.1,13.1,49.7,116.6,238,53.2,286.7,509.3
10,4.9,16.7,6.2,15,60.5,13.9,55.1,121.1,241.9,55.1,295.4,514.5
11,5.1,16.7,7.6,15.3,61,16.5,58.3,124.1,246.6,57.8,299.5,517.8
12,5.6,17.1,7.7,16.5,61.2,19.3,60.5,125.5,249,67.4,304.5,519
13,6.3,17.6,7.7,17.7,61.9,20.3,62.7,129.5,250.7,69.8,309.3,522
14,7.2,17.9,8.6,17.8,63.4,21.5,63.3,134.4,254.2,75.9,311.8,525.5
15,8.8,18.2,8.7,19.1,63.9,22,65.6,138.3,256.3,81.7,325.3,531.3
16,9.3,19.9,8.8,19.2,65.6,23.6,69.9,142.9,263.9,86.4,329.8,537.2
17,9.5,20.2,9,19.5,68.1,26.4,71.5,157.7,271.9,91.7,333.9,540.8
18,9.6,21.6,9,21.7,68.8,27.8,72.5,160.5,278.9,97.6,338.3,547.1
19,9.7,22,9,22.2,72,29.2,74.3,163.5,283.6,103.5,345.2,553.4
20,9.9,22.5,9,24.6,74.3,29.5,75.5,168.2,287.7,110.9,349.3,555.1
21,10.2,22.5,9.3,24.9,75.4,29.6,76.8,172.8,289.9,116.6,353.7,558.8
22,10.9,22.5,9.4,26.8,76.8,30.6,77.6,175.6,292.6,124,363.3,566
23,10.9,22.5,10.2,27,77.6,31.2,80.1,179.1,297,129.3,368.6,576.9
24,10.9,22.6,11.1,27.7,78,32.4,83.4,183.9,300.2,140.4,385,577.4
25,10.9,22.9,11.1,31.2,81.7,33,84.7,186.1,303.4,145.6,401.1,579.9
26,10.9,23.1,11.1,31.2,85.5,33.2,85.6,189,306.2,153.2,411.1,582
27,11.2,23.1,11.1,31.5,87.7,34.1,87.8,195,310.5,160.7,428.5,582.8
28,11.5,23.1,11.5,31.7,89,34.6,88.9,198.5,314.4,166.5,435.3,582.9
29,12.1,,11.5,33.3,91.5,35.7,90.3,202.3,317.8,174.5,443.4,584
30,12.4,,11.5,33.8,93.7,35.9,90.4,204.9,323.3,181.3,452.5,584.9
31,12.4,,11.5,,94.7,,92.4,209.3,,189.6,,587.3
