DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.6,13.7,0.5,19,44.4,1.2,38,105.6,221.3,4.3,181.7,423.1
2,1,14.1,2,19,46.9,1.2,40.3,107.3,225.2,12.2,186.4,429.7
3,1.1,14.2,3,19,48,2.3,41.2,110,227,16.1,196.6,436.7
4,1.5,14.8,4.2,19.7,54,3.5,41.8,111.5,229.6,22.5,209.6,448.3
5,2.3,15.1,5,20.4,54.6,5.5,43.5,112.8,231.1,25.6,220.1,456.4
6,2.5,16.5,6.3,21.5,57.3,9.8,44.1,115.5,235.3,27.8,235.9,464
7,4.1,16.9,7.3,21.6,61.4,13.3,47.1,117.8,239.4,31.3,241.7,470.9
8,4.6,17.2,9.5,21.9,63.2,14.1,48.2,119.5,243.6,36.8,252.7,476.5
9,5.8,17.4,10.5,21.9,65.3,14.2,49.3,121.3,247.4,47.7,261.7,481.8
10,6.6,17.4,10.8,22.1,66.6,14.7,53,125.9,253.4,50.6,270.2,489.6
11,7,17.5,12.9,22.5,69.1,16.3,56.3,128.9,256.8,54.2,274,493.4
12,7.4,17.6,15,23.6,70.4,18.2,57.8,131.1,259.3,59.3,277,495.1
13,7.5,18.4,15.3,24.4,71.3,19.2,60.7,137,261.6,62,283.3,498
14,8.2,18.8,16,25.1,72.3,20.6,61.9,140.4,266.2,66.8,287.1,501.7
15,9.7,19.1,16.1,25.1,75.2,20.7,64.9,145,267.3,69.3,297.4,510
16,9.9,20.4,16.2,25.6,77.2,22.3,68.9,149,271,72.1,301,516.1
17,10.1,20.7,16.2,25.9,78.5,23.9,69.9,160.5,277.4,76.1,304.5,520.7
18,10.2,21.9,16.3,29.1,79.3,26.1,70.9,163,285.5,81.9,308.8,526
19,11.2,22.4,16.3,29.9,82.2,27.1,72.6,165.8,292.4,89.9,312.6,535.6
20,11.4,22.8,16.4,32.3,85.1,27.3,73.7,169.8,297.3,95.5,315.9,537.7
21,11.7,22.9,16.6,33.1,86.2,27.5,75.1,174.5,300.9,100.2,322.6,541.5
22,12.1,22.9,17.3,34.1,87.1,28.6,79.9,179.3,306.3,107.2,332.9,547.1
23,12.1,22.9,18.6,34.9,89.3,29.6,82.4,182.7,310.1,113.4,340.1,558.6
24,12.2,23.3,18.6,35.3,90.3,31.2,87.3,188.2,314.3,125,359.2,559.9
25,12.2,23.5,18.6,38.8,93.1,31.7,88.3,192.2,317,130.4,372.6,561.5
26,12.2,23.7,18.6,38.8,96.7,33,90.2,196.1,319,137.5,381.6,565.2
27,12.6,23.7,18.6,38.9,97.7,34.2,92.5,202.1,321.7,146.7,397.7,566.5
28,12.9,23.8,19,39.2,100.2,35.2,94.1,205.3,327.3,152.9,405,571
29,13.3,,19,40.6,101.6,36.3,95.3,209.2,332.8,161,408.5,572.5
30,13.6,,19,40.7,103.5,37,95.9,212.1,336.1,167.2,417.1,573
31,13.6,,19,,106.1,,99.7,216.4,,174.7,,574.5
