DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.3,11.3,0,13.9,35.2,1.6,26.7,74.2,161.6,3.4,162.7,339.3
2,0.6,11.6,0.4,13.9,35.9,3.9,27.1,74.6,164,8.6,166.3,343.2
3,1.3,11.6,0.6,14.1,36,5,27.6,75.2,165.6,12.4,173.2,346.3
4,1.6,12.1,2.9,14.5,39.1,5.9,28,76.9,168.6,19.1,183,354.2
5,2.2,12.7,3.7,15,40.4,7,29.7,77.8,170.9,24.6,189.9,357.4
6,2.4,13.9,5.2,15.8,42.7,9.1,31,79.9,174.7,26.5,198.8,362.4
7,3.6,14.3,6.2,16.1,45.7,9.7,32.8,81.7,176,29.3,203.9,366.4
8,4.1,14.4,6.9,16.6,47.6,10.2,33.1,82.5,180.9,34.3,212.7,371
9,4.6,15.3,8.6,16.8,48.4,10.4,34.5,85.6,184.8,41.1,216.2,374.3
10,5.1,15.8,9.1,18.3,49.1,10.8,36.9,86.3,190.5,43.7,220.1,380.3
11,5.5,15.9,9.9,18.9,51.5,12.2,39.5,86.8,192.6,45.2,222,385.1
12,5.9,15.9,11.1,19.6,54.6,13.6,40.4,88.2,197.1,51.5,226,386.9
13,6,16.5,11.2,20.7,56.9,14.6,40.4,92.3,199.2,54.4,229.9,389.2
14,6.2,16.9,11.3,21.3,57.5,15.5,42.8,97.3,203.1,58,234.9,391.3
15,7,17.3,11.5,22.1,58.8,16.6,45.5,99.1,206.4,59.8,245,395.6
16,7.9,17.5,12,22.3,61.2,16.6,48.2,101.9,212.3,62.6,249.5,398.7
17,8.1,17.5,12.2,22.5,62.8,17.9,49.2,109.5,219.3,65.8,254.8,401.6
18,8.2,18.9,12.2,24.7,65.2,19.4,49.9,111.8,224,73.7,260.6,405.2
19,9.1,19.5,12.2,24.8,68.3,20.3,52.3,114.3,227.1,78.1,264.6,410.2
20,9.3,19.7,12.5,25.1,70.3,21.1,52.8,118.7,230.8,83,268.6,412
21,9.4,19.8,12.5,25.1,71.9,21.3,55.8,122.1,233.4,88.7,272.5,413.6
22,10.2,19.8,12.7,26.9,73.1,23,57.4,126.3,235.2,94.9,279.9,416.4
23,10.2,19.8,12.8,27.8,75.7,23.1,58.8,130.5,238.7,99.2,283.6,423.4
24,10.2,19.9,12.8,28.1,77.6,24.3,60.8,137.6,239.4,109.2,293.6,424
25,10.3,20.3,12.8,30.3,81.2,24.4,61.5,143,244.1,112.9,304.4,425.2
26,10.3,20.4,12.8,31,83.2,24.5,62.7,145,247.4,117.2,310,427.7
27,10.5,20.4,12.8,31.1,86,25.2,64.8,150,251.2,125.6,317.3,427.9
28,10.6,20.6,13.1,31.1,87.8,25.2,66.3,151.7,255.8,130.5,322,429.1
29,11,,13.6,31.1,89.1,25.9,68.6,153.3,262.8,139.5,327.1,430
30,11.1,,13.6,31.6,90,26.4,70.3,154.8,269.1,145.7,334.3,430.4
31,11.2,,13.7,,91.6,,70.6,158,,152.5,,432
