DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.8,14.4,1.4,10.5,29.8,0.6,27.7,88.9,185.9,3,156.3,364.5
2,1,14.4,1.9,10.9,30.4,0.8,28.9,91.4,187.4,10.3,162.2,369.1
3,1.2,14.4,2,10.9,31.9,1.9,29.7,92.6,192.1,12.8,169.8,377.8
4,1.4,14.4,2,11,35.5,2.9,31,94.3,193.2,16.5,180.4,387
5,1.9,14.5,2.3,11.8,35.8,4,32.4,94.9,196.4,18.9,187.1,395
6,2,16.3,3.1,12.5,37.3,8,33.2,96.5,196.9,20.6,199.1,401.2
7,3.3,16.6,3.3,14.5,43.6,11,36.2,98.5,199.9,24.6,206.7,406
8,4.2,16.8,4.2,14.5,45.7,12.1,38.5,100.5,203.9,29.5,219.9,409.3
9,5.8,16.9,5.8,14.5,48.6,12.7,41.4,104.6,207.6,35.4,225.8,414.2
10,6.7,16.9,6.4,14.5,49.7,14,46,107.5,210.6,37.9,230.6,419.5
11,6.9,16.9,7.3,15.1,50,15.4,48.6,109.8,213,39.3,233.3,423.6
12,7.5,17.3,7.4,15.3,50.9,16.4,50.8,112.3,217.3,45.1,239.7,425.3
13,7.6,18.2,8,16.3,51.2,17.8,51.2,117.1,220.8,47,245.6,430.2
14,9,18.6,8.1,16.3,52.4,18.2,52.4,119,223.6,52.7,248.8,432.5
15,10.3,19,8.2,17,52.9,18.4,56.8,122,227.1,56.5,256.4,438.7
16,10.5,19.5,8.5,17.1,56.8,18.4,59.5,126.2,234.8,60.5,260.5,444.9
17,10.7,20.2,8.6,17.3,56.9,19.2,61.1,130.6,240.1,64.8,263.1,450
18,10.9,21.5,8.7,18.7,57.9,19.7,62.4,132.9,244.7,70.9,268.8,455.8
19,12.4,21.8,8.9,19.1,59.1,20.6,63.9,135.1,249.6,77.6,276.4,457.3
20,12.7,21.8,9,19.5,61.1,20.7,65.9,137.7,252.2,81.2,281.1,459.3
21,13,21.8,9,20.1,61.6,20.7,66.9,141,256.2,85.7,286.2,462
22,13.4,21.8,9.1,21.8,62.6,21.4,70.7,145.1,261.5,91.2,295.1,465.9
23,13.4,21.8,9.3,22.3,63.6,22.1,74.1,149.4,262.7,99.2,301.6,475
24,13.4,21.8,9.3,22.5,65.4,23.6,77.6,153.3,266,107.5,317.7,475.7
25,13.4,22,9.3,26.3,67.7,24,78.2,157.1,271.3,112.9,326.6,478
26,13.4,22.1,9.3,26.5,71.7,24.1,80.2,160.5,276.6,119.3,335.1,480.4
27,13.6,22.4,9.5,26.8,72.6,24.9,81.3,166.7,278.5,125.3,342,481.3
28,13.8,22.4,9.8,26.8,74.3,25.1,83.1,170,283.3,130.8,345.1,485.3
29,14.2,,10.3,28.5,78.3,25.8,84.2,174,286.5,136.4,350,486.4
30,14.3,,10.3,29.1,79.5,27.5,85.6,176.4,289.3,141.7,359.2,487.5
31,14.3,,10.3,,81.2,,86.5,181.2,,149.1,,488.8
