DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.9,20.4,2.2,17.3,44.3,1.7,46.8,122.6,240.4,0.6,169.9,411.8
2,1.6,21,2.4,17.4,44.7,3.5,49.5,124.8,243.3,5.1,175.6,417.3
3,1.7,21.3,2.7,17.7,45.5,4.3,50.2,126,246.3,7.8,186,425.1
4,2.5,21.5,4,18.1,49.1,7.2,52.6,130.2,247.9,11.7,201,434.3
5,3.2,22.1,4.8,18.7,52.3,8.3,54.3,131.7,250.2,16.1,209.5,440.2
6,3.7,23.6,7.5,20.4,54.8,11.5,55.7,134.3,251.5,18.6,222.6,445.4
7,5.1,24.1,7.7,20.5,59,16,60.4,135.9,252.9,22.1,228.8,450.7
8,5.9,24.8,9.5,23.9,60.5,17.5,63.6,138.2,256.8,26.6,240.9,456.3
9,8,25.1,10.3,24.3,63.8,18.5,64.9,140.4,264.6,27.9,248.3,462.5
10,9.8,25.1,10.8,25.3,64.3,19.5,71.2,143.4,267,30.5,255.2,468.9
11,10.3,25.4,11.6,27,66.9,20.9,74,144.4,273.4,33.2,259.1,473.2
12,11,25.7,11.8,28.7,67.8,22.3,77.2,148,275.1,38.2,266.1,476.5
13,11.1,26.7,12,30.1,69.2,24.1,78.2,151.5,280,45.9,274.4,477.9
14,11.9,27.9,12.5,30.5,70.6,26.1,79.8,153.1,283,51.1,279.7,481.6
15,13.6,28.2,12.5,31.7,71.6,27.3,81.8,156.2,289.8,54.7,290.6,486.5
16,13.6,28.5,13.3,31.8,74.6,29.3,83.7,160.8,295.6,60.4,296.4,490.6
17,14.1,28.9,13.6,32.1,75.7,30.1,86.4,168.7,298.5,65.5,300.7,494.2
18,14.4,29.4,13.8,33.1,75.9,32.7,88.2,171.8,303.6,71.6,305.5,498.1
19,15.7,30.5,13.9,33.7,77,34.6,90.9,176,309.4,78.4,312.3,503.7
20,15.7,31.1,14.4,34.7,79.6,34.9,93.7,183.2,314.8,84,318.2,505.7
21,17.3,31.3,14.7,35,80.7,35.9,96.5,188.9,317.8,90.1,325.1,508.4
22,18.1,31.3,15.9,35.5,81.1,36.6,99.4,194.2,323.2,98,334.7,513.7
23,18.1,32,16.5,37,81.6,37.7,100.7,199.4,327.2,106.4,340.9,525.2
24,19.1,32,16.6,37.4,83,39.6,103.8,205.4,328.6,116.7,351.6,527.3
25,19.1,32.5,16.6,39.7,85.4,40.8,108.2,208.4,333.9,122.8,363.5,529.6
26,19.2,32.8,16.6,40.6,87.3,41.6,111.5,213.6,336.9,128.3,373,531.5
27,19.5,32.8,16.6,40.9,89.8,42.8,111.9,218.6,341.1,136.7,385.1,532.6
28,19.8,33.5,16.8,41.3,90.8,43.2,113.2,222.7,346.3,141.7,389.8,538.8
29,20.3,,17.1,42.7,91.2,44.6,116.7,225.9,350.8,146.6,396.8,540.3
30,20.4,,17.2,43.6,91.8,45.6,117.9,230.4,353.5,154.8,405,541.5
31,20.4,,17.2,,94,,118.7,235.6,,163,,543.2
