DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.5,26.4,3.1,48.9,90,0,3.3,7.3,9.3,0.2,131.6,360.5
2,0.6,26.8,3.3,49,90.1,0,3.3,7.3,9.3,0.7,141.1,370.1
3,0.6,27.1,7.6,49.7,91.6,0,3.9,7.3,9.3,1.3,150.4,377.2
4,0.6,27.3,11.7,52.7,91.7,0,3.9,7.3,9.3,1.6,165.1,383.2
5,1,27.7,13.4,56.3,91.8,0,3.9,7.3,9.3,2.8,174.4,387.2
6,1.8,27.7,16.2,57.1,91.9,0,4,7.3,9.3,3.2,186.7,389.7
7,2.9,28.7,17.8,57.5,94.3,0,4.2,7.6,9.4,5.5,193.2,392.7
8,4.5,30.1,18.8,58.2,98.9,0,4.6,7.6,9.4,5.9,198.5,396.5
9,8.8,30.1,18.9,60.7,100.5,0,4.8,7.6,9.4,6.9,208.1,400.3
10,9.8,30.1,20,65,101,0,5.4,8,9.4,8.8,211.3,402.3
11,10.7,30.5,24.8,71,101,1,5.4,8,9.4,9.3,217.6,403.9
12,10.7,34.3,26.9,74.7,101,1,5.4,8,9.4,9.3,224.8,407.5
13,11.4,35.5,27.7,75.1,101.3,1,5.4,8.1,9.4,9.3,230.8,409.5
14,12,37.6,28.5,76.5,102.4,1,5.4,8.1,9.4,9.4,234.2,413.1
15,13.8,38.3,31.6,76.9,102.4,1.3,5.4,8.1,9.5,12.3,247,414.6
16,17,38.3,34.4,77,102.4,1.3,5.4,8.3,10.9,15.3,255.2,415.5
17,19.2,38.4,36.6,78.4,102.4,2,5.7,8.3,13.2,21.8,259.6,417.3
18,21.2,38.8,38.8,78.4,102.4,2,5.9,8.3,15.2,27.5,275,421.3
19,21.3,38.8,39.1,78.5,102.4,2.4,5.9,8.3,15.3,35.2,285.8,428.4
20,21.3,39.8,41.1,79,102.4,2.4,5.9,8.3,16.6,43.9,291.1,431.5
21,21.3,41.6,44.5,79.8,102.4,2.4,5.9,8.4,16.6,49.8,297.9,433.8
22,22.2,41.6,45.6,81.2,102.4,2.4,6.7,8.4,16.7,52.1,306.7,435.7
23,22.2,43.9,46.4,82.4,102.4,3.1,6.7,8.5,16.7,54.7,315.7,437.5
24,22.3,45.2,46.8,84,102.4,3.2,6.7,8.5,16.9,59.8,319.8,438.5
25,22.3,45.4,47.1,84.4,102.4,3.3,6.9,8.7,16.9,67.6,325.9,440.7
26,22.7,46.7,47.1,84.5,102.7,3.3,7.3,8.7,19.4,74.4,331.5,442.2
27,22.8,46.7,47.1,85.7,102.9,3.3,7.3,9.1,19.6,89.6,340.2,442.2
28,23.6,48,47.3,86.4,102.9,3.3,7.3,9.1,19.6,103.4,343.7,443.6
29,24.7,,47.7,87.9,103.3,3.3,7.3,9.2,20.5,109.9,347,448.5
30,26.1,,47.8,90,103.4,3.3,7.3,9.2,21.5,118.3,350.4,451.1
31,26.1,,48.1,,103.4,,7.3,9.3,,128.2,,452.5
