DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.3,11.7,0.3,38.6,106.2,1.1,7,18.8,54.1,0.6,212.7,394.6
2,0.4,12.1,0.9,42.6,108.4,1.8,7,19.4,55,7.6,217.5,397.5
3,0.4,12.4,3.8,44.4,112.5,2.3,7,20.4,56.3,9.5,225,402.8
4,0.4,13.3,5.4,46,115.3,2.6,7,21.2,57.3,14,233.6,406.3
5,1.1,14.4,6.5,48.4,118.1,3.5,7,21.5,60,15.4,243.7,409.1
6,1.1,15.1,7.6,49.9,120.1,4.1,7,21.5,64,16.1,255.9,409.6
7,1.4,15.3,9.9,51.2,127.6,4.6,7,22.3,65.9,20.4,258.9,416.8
8,1.8,15.6,11.2,53,128.3,4.7,7,23,65.9,22.5,271.2,420.8
9,2.4,15.7,13.9,53.6,131.1,4.7,7,23,68,25,282,423.2
10,2.4,17.9,15.4,55.7,133.8,4.7,7,23,69.7,27.7,286,426.4
11,2.5,18.3,15.4,58.2,136.1,4.9,7,23.8,71.5,32.1,291.3,431.6
12,2.7,18.5,15.5,62.5,137.6,4.9,7,25.9,71.5,38.7,295.7,438.6
13,2.7,19.4,16.1,63.5,139.3,5.4,7.6,26,72.1,44.3,298,440.5
14,2.9,19.7,20.4,67.2,141.9,5.5,7.6,26,72.1,49.3,301.4,442.4
15,3.7,20.2,20.6,70.9,143.5,6,10.3,28.7,75,54.9,307.5,444
16,3.7,20.2,22.7,74.1,144.2,6,11.8,33.7,75.5,62,315.2,445.1
17,3.9,20.6,23.8,75.8,144.6,6,11.8,34.4,77.6,70.7,322,446.1
18,4.6,22.6,24.7,77.3,145,6.3,13.9,34.9,78.7,83.5,326.5,450
19,4.7,23.3,25.9,78.6,146.1,6.3,13.9,36.8,81.1,93.7,332.9,452.2
20,5,24.1,27.2,79.7,147.5,6.3,14.8,37.8,82.6,103.5,338.8,453.4
21,5,26.7,29.9,81.8,147.7,6.3,14.9,38.2,84.2,121.3,348.2,454
22,5,26.9,31.1,85.3,149.7,6.3,15,38.2,86.1,131.7,352.5,456.3
23,5,26.9,31.4,87.4,150.2,6.3,15.4,38.2,89.3,136.7,362,458.8
24,5.1,27.4,31.6,89.7,150.3,6.6,15.7,39.7,91.1,145.4,366.1,459.8
25,7.3,27.6,32.6,91.1,150.5,6.6,15.9,41.2,93,155.1,371.5,462.6
26,7.4,27.6,32.8,96.8,151.3,6.8,16,47,93.5,160.9,375.6,463.1
27,9.2,27.6,35.6,99.6,151.3,6.8,16.1,50.5,96.1,173.5,378.7,463.7
28,10.6,28,35.7,101.4,151.3,6.8,16.5,52.3,97.6,179.6,381.8,468.8
29,10.6,,35.9,103,151.7,6.8,17.3,52.8,101.6,184.6,386.7,469.5
30,11.3,,36,105,152,7,18.5,53.9,103.8,190.3,391.3,471.4
31,11.6,,37.3,,152.5,,18.6,53.9,,200.4,,472
