DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1.1,11.9,0.1,27.7,79.8,2.2,17.9,45,86.4,1.9,174.9,334
2,1.1,11.9,0.5,27.7,84.3,3.2,18,45.5,88.1,5.4,182.9,334.7
3,1.1,12.1,2.6,28.3,85.5,4.5,18,45.7,95.2,9.5,190.4,341.2
4,1.1,12.1,5.9,30.5,86.4,4.9,18,45.7,97.4,11.5,201.6,344.8
5,1.5,12.9,7.6,34.8,88,6.1,18.4,45.8,99.4,12.6,208.7,347
6,1.9,13.4,8.1,35.4,90.8,6.6,20.2,47.3,100.3,15,221.8,348.9
7,3.9,13.4,8.5,38.1,93.6,6.9,20.9,47.5,100.9,18.9,226.9,350.8
8,7.5,14.2,9.3,38.4,94.1,7.5,20.9,48.5,101,22.5,234.5,354.8
9,8.4,14.2,10.5,39.1,97.9,7.6,21.7,49.1,108.1,28.5,248.7,355.3
10,8.4,16.7,10.7,39.2,98.6,7.8,24.3,49.8,110.4,38.8,252.9,357.7
11,8.4,16.7,11,40.3,98.7,7.8,25.2,50.4,112.7,41.4,258.2,359.1
12,8.4,17.1,11.2,41.5,99.2,8.4,25.4,50.7,115.4,43.5,263.5,360
13,8.4,17.7,12.9,45.9,101.8,9,25.9,51,119.5,47.4,266.8,362.4
14,8.6,17.7,13.7,48.4,103.8,9.1,26.3,51.2,122.3,56,271.8,363.4
15,8.7,18,14.1,51.2,104.1,9.8,27.7,52.8,125.7,61.1,275.4,366.3
16,9,18.2,15.2,53.3,107,10.3,27.8,54.8,129.4,63.8,280.6,368.3
17,9.1,18.2,16,54.1,108.2,10.3,28.7,55.9,132.8,69,284.5,369.6
18,10.4,19.9,17.1,54.7,111.3,11.7,29.2,57.3,139.2,81.1,288.8,374.2
19,10.7,21,17.7,56.1,112.1,12.2,30.9,58.3,139.6,85.8,291.9,378.7
20,11.2,21.1,17.9,58.1,113.7,12.2,31.1,59.2,140.9,91.2,295.4,380.7
21,11.3,22,18.7,58.8,115.3,14.6,32.7,60.5,142.7,99.6,297.4,382
22,11.3,22.6,19.7,59.5,116.1,15.3,33.7,62.2,144.8,107.4,300,384.2
23,11.3,22.7,19.9,61.8,117.7,15.5,33.9,65.9,146,112.7,307,386.2
24,11.3,23.2,20.5,62.8,118.4,15.5,34.7,68.2,149.4,120.2,311.6,389.2
25,11.5,23.8,20.8,67.9,119.3,15.5,36.8,69.9,154,126.5,314.6,391.1
26,11.5,23.9,21.7,69.5,120.3,15.8,38,72.7,156,134.8,320.9,392.6
27,11.6,24.2,22.2,71.1,122.1,15.8,38,76.8,162.9,142.3,325.5,393.2
28,11.7,24.4,23.8,72.2,124.5,16,40.6,80.5,166.1,146.6,327.1,393.5
29,11.7,,24.6,73.6,125,16,43.1,81.8,173.5,155.1,329.9,395.4
30,11.7,,25.4,74.7,125.3,16,43.2,84,176.5,164.6,332.7,396.1
31,11.7,,26.9,,125.6,,44.1,85.4,,171,,397.7
