DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.4,6.9,0.6,14.7,65.7,0.3,11.9,35.9,69.5,0.7,164,299.3
2,0.4,7.1,1.1,16.9,68.8,1.2,11.9,36.1,70.8,4,169.6,302.1
3,0.4,7.9,1.4,18.1,69.2,2.4,12.3,36.3,72.8,8.7,173.6,305.2
4,0.4,8.1,2.6,19.1,70.3,2.7,12.3,36.4,73.4,10.9,180.5,306.8
5,0.4,8.5,2.8,21.5,72.3,2.9,12.3,37,74.8,12.6,185.7,308.1
6,0.4,8.6,3.2,23.5,75.6,4.5,12.6,37.2,75.5,13.3,191.6,309.2
7,0.5,8.6,3.6,24.8,81.6,4.6,12.7,37.2,77.1,15.6,198.2,311
8,1.1,9.3,3.9,25.2,85.4,4.7,12.7,37.4,77.2,17.1,204.9,315.2
9,2.2,9.6,4.2,26.4,91.7,4.8,13.8,38.3,81.6,21.5,213.3,317.1
10,2.4,10.5,4.5,29.5,93.3,4.8,13.8,38.3,83.1,24.8,218.4,318
11,2.4,10.6,4.5,30.6,94.2,4.8,13.9,38.9,86,26.5,222.7,320.9
12,3.2,11,5.2,33.1,95.8,4.8,14.4,39.4,88.8,30.8,223.9,327.3
13,3.2,11.6,5.8,35.1,96.2,5.7,14.4,39.6,89.7,38.6,225.7,328.5
14,3.3,12,6.5,38,97,5.7,14.5,39.6,91.8,45.5,229.1,329.9
15,3.5,12.5,8,40.6,98.9,5.7,16.1,42.3,93.2,51.9,232.3,331.6
16,3.5,12.5,8.1,43.1,100.9,5.7,16.1,44.1,94.8,56.1,234.7,335.9
17,3.5,12.5,8.3,44.6,102.3,5.7,16.9,47.6,98.1,63.6,238.1,336.2
18,3.7,13.9,9.7,45.6,105.7,5.7,17.1,49.3,100.3,71,240.8,337.8
19,4,15.1,9.7,47.1,105.8,6,19.8,49.7,101,79.2,246.3,339
20,4.2,15.6,9.7,48.8,107.8,6,21,51,101.2,85.3,249,341.5
21,4.2,16.3,9.7,51.7,107.8,8.6,21.3,53,104.8,89.5,254.9,342.3
22,4.5,16.6,9.7,53,108.8,8.7,22.3,53.7,107.2,101.1,260,343
23,4.5,17,9.7,54.3,109.1,8.7,22.5,55.7,108.2,108,266.4,344.9
24,4.6,18.4,10,54.7,110,8.8,24.8,56.4,112.7,112.9,271.9,345.2
25,4.6,18.6,10.1,57.2,112.6,8.9,27.1,58.2,114.4,121.3,279.5,345.6
26,4.6,18.6,10.1,57.6,113.4,9.7,30.1,59.1,117.5,125.6,282.7,346.2
27,4.7,18.7,11,58.7,114.5,9.7,30.1,61.1,122.5,132.7,287.8,347.3
28,5.5,18.7,11.3,59.4,114.6,10.6,33.3,62.7,126,142.8,289.7,351.2
29,5.5,,11.6,62.6,115,10.6,34.1,63.3,128.7,149.6,290.7,351.3
30,6.1,,11.7,63.1,115.5,10.9,34.1,66.2,130.8,151.7,294.3,352
31,6.5,,14.1,,115.6,,34.1,67.6,,157.5,,352.3
