DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.6,13.9,1,28.1,67.5,0,4.1,14.6,28.5,0.2,164.2,321.4
2,0.8,14,1.5,28.6,67.8,2.4,4.1,14.7,28.8,2,171.4,323.8
3,0.8,14.6,2.5,29.3,70.6,2.8,4.1,14.9,30.3,2.7,179.3,329.5
4,1.2,15.6,4.2,30.5,72.2,2.8,4.1,14.9,31.7,4.8,185.3,334
5,1.5,15.8,6.9,32.2,77.3,3.1,4.6,14.9,33.3,7.4,194.5,334.8
6,1.6,16.1,7.7,33.5,78.7,3.3,4.8,14.9,33.9,10.3,203.3,336.7
7,4.5,16.2,8.6,38.1,84.6,3.3,4.9,14.9,37.1,12.1,210.1,340.5
8,6.4,17.3,8.8,40,85.4,3.3,4.9,15,38.7,13.6,216.9,342
9,8.5,17.4,9.1,41.3,87.3,3.3,5.1,15.1,40.6,16.6,221.4,343.1
10,8.5,17.4,11.8,42.3,87.8,3.3,5.1,15.1,41.4,21.5,224.6,345.3
11,8.5,17.4,12.2,43.8,89.2,3.5,5.6,15.1,41.5,24.6,228.1,352.6
12,8.7,19.3,13.8,45,89.8,3.5,5.6,15.9,42.7,28.6,232.9,357.9
13,8.9,19.6,14.3,45.9,91,3.6,5.6,16,44,32.4,235.4,359.9
14,9.1,19.9,15.4,46.8,92.9,3.6,5.6,16.5,45.4,36.3,241.4,362.4
15,9.1,20.4,19.1,47.6,94.3,3.6,6.7,16.8,46.7,42.2,247.5,363.8
16,10,20.6,19.9,52,97.1,3.6,7,16.8,46.9,50.6,255.5,365.6
17,10.4,20.9,20.2,52.8,98,3.6,7.5,17.6,49.4,56.2,258.2,367.4
18,10.9,21.9,20.6,53.8,98.2,3.6,8,17.7,51.1,65.7,264.6,369.5
19,10.9,24.7,20.8,55.3,98.8,3.6,9,17.7,53.4,75.4,269.3,370.9
20,11.4,25.1,21.3,56.9,99.5,4,9.2,19.2,55.1,83.9,274,372.7
21,11.5,26.3,24.2,58.5,99.5,4,10.5,19.5,57.4,92.2,278.7,373.3
22,11.7,26.3,24.9,59.3,99.7,4,10.6,20.8,59.2,101.1,284.2,374.1
23,11.7,26.6,25.3,59.4,99.9,4.1,11.6,21.6,60.7,106.6,290.7,375.1
24,11.8,26.8,25.3,60.7,100.6,4.1,12.2,23.8,62.2,109.9,295.7,376.1
25,12,26.9,26.1,62.3,101,4.1,12.6,24,62.8,117.1,300.7,377.5
26,12,27.2,26.1,62.8,101,4.1,12.9,25.7,64.3,122.5,302.9,378.1
27,12.2,27.3,26.1,64.2,101.1,4.1,13.1,26.8,67.1,132,308.5,378.5
28,13.1,27.8,26.5,64.6,102.2,4.1,13.6,27.2,69.2,136.1,310.7,379.4
29,13.3,,26.6,65.2,104,4.1,13.8,27.6,71.6,142.1,314.2,380.6
30,13.5,,27.3,65.7,104.2,4.1,14.1,27.6,75.1,154,318.4,380.9
31,13.8,,27.9,,104.4,,14.6,28,,159.7,,381.7
