DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.2,19.5,0,38.4,90.9,0.4,9.2,18,31,0.6,151.9,388.5
2,1,20.3,0,39.4,92.2,1,9.3,18,32.2,3.6,163.9,393.6
3,1.3,21,3.2,40.3,94.6,1,10.3,18,32.8,5.1,178.7,400.2
4,1.4,23.1,6.7,42.4,94.9,1.3,10.4,18.5,33.8,6,187.5,403.5
5,1.6,23.7,7.8,45,95.8,1.4,10.4,18.6,34.2,7.3,202.5,405.1
6,2.3,25.4,8.5,49.8,96.9,2,10.4,18.7,34.7,9.7,212.1,410.4
7,2.7,26,9.1,52.1,98.9,2.4,11.3,18.8,35.5,12.8,221.8,412.8
8,4.3,27.9,10.7,53.6,100.9,3.2,11.6,19.5,36.1,14.3,231.2,418
9,5.9,28.7,11,55.2,103,3.4,12.7,20.8,36.9,17.5,239.5,421.7
10,6.2,29.4,13.5,57.3,104.1,3.8,12.8,21.4,38,19.9,245.8,424.2
11,7.1,29.6,14.1,59.7,104.3,4.5,12.8,21.4,38.1,21.9,250.5,430
12,8.2,30.5,16.8,60.9,104.9,4.7,12.9,21.4,39.4,23.6,258.8,435.8
13,8.5,30.7,17.9,63.1,106.5,4.8,13.1,21.7,39.5,27.2,265,440.2
14,10.5,31.7,19.8,65.6,107.7,4.9,13.2,21.8,40.1,31.7,270.8,441.3
15,10.5,32.7,22.1,65.9,108.5,5,13.5,23.2,40.1,36.9,278.4,444
16,11.1,32.9,24.2,66.9,109.7,5,13.6,24.3,41.3,40.3,286.6,445.5
17,12.8,32.9,27.1,67.7,110.2,5.1,14,24.9,42.7,45.2,291.5,448.3
18,14.8,33.2,28.7,69.2,110.3,5.1,14.1,25,42.7,50.9,301.7,456
19,14.9,33.2,28.8,72.8,111.9,6,15.6,26,43.4,55.9,306.8,457.7
20,15.2,35.2,29.5,72.9,113,6.2,15.6,26.4,44.1,64.2,311,460.3
21,15.2,35.6,31.7,73.9,113.1,6.3,16.2,26.6,44.7,71.8,320.9,461.7
22,15.8,37,32.5,75.3,113.1,7,16.2,26.6,45.2,82.4,327.8,465.1
23,16,38.1,32.9,76.1,114.1,7,16.2,27.1,45.6,87.1,339.5,467.4
24,16.2,38.2,34.3,80,114.6,7,16.4,27.2,47.1,93.4,342.7,467.6
25,16.8,38.4,34.4,80.6,114.7,7.2,16.6,27.4,48.6,102.5,347.1,468.7
26,17.3,38.7,34.5,81.4,115.2,8,16.8,28.8,50.4,107.1,352.6,470
27,17.5,38.7,34.5,83.6,115.8,8,16.8,28.8,52,114.8,362.2,472.9
28,18.1,39.8,35.4,85.6,116,8.4,16.9,29.3,54.3,121.4,365.2,476.1
29,18.8,,35.5,90.1,116.3,8.6,17.6,29.3,55.8,128.8,369,478.1
30,19.2,,37,90.7,116.4,8.8,17.7,29.5,61.6,137.2,376.8,479.4
31,19.4,,38,,116.5,,17.9,30.3,,143.8,,480.5
