DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.2,28.4,2.2,35.6,87.6,0.1,3.2,9.3,15.6,0.1,150,364.7
2,2.9,31.5,3.8,37.3,88.3,0.5,3.2,9.8,15.6,1.6,165.7,366.5
3,3.2,32.4,7,39.9,89.5,0.5,3.4,9.8,15.6,2.1,182.8,375.3
4,3.3,33.6,8.1,42.6,91.9,0.6,3.4,9.8,15.8,2.5,192.9,381.4
5,3.4,34.8,9.1,46.4,93.9,0.6,3.4,9.8,16.1,2.7,202.7,383.7
6,4.5,35.4,9.9,51.1,95.8,1.1,3.4,9.8,16.1,4.5,218.6,385.7
7,5.3,36.3,10.3,53.7,96.4,1.3,3.5,9.8,16.4,5.9,225,387.7
8,6.7,37.7,10.4,55.4,97,1.3,3.6,10.2,16.7,6.6,239.5,391.4
9,9.7,39.1,10.7,55.8,99.4,1.6,3.9,10.4,16.7,9,248.1,393.8
10,12,41.6,11.3,59.2,100.4,1.8,4.9,10.4,16.7,13.6,251.4,395.4
11,12.3,42.3,12.2,62.4,101.3,1.9,4.9,10.4,17.2,15.5,259.9,400.3
12,12.4,44.2,14.4,64.7,102.3,2,4.9,11,17.2,17.2,265.1,406.5
13,12.5,46.4,15.3,65.2,103.5,2,4.9,11,17.3,21,268.2,409.6
14,13.2,46.4,16.9,67.3,104,2.1,4.9,11,18,23,270.1,412.3
15,14,48.8,16.9,67.9,104.5,2.3,5,11,18.6,25.7,275.2,416.8
16,17.2,48.8,19.6,68.5,105.6,2.4,5.1,11.1,19.5,29.7,280.9,420.2
17,19.5,50.6,21.4,69.8,105.7,2.4,5.2,11.4,19.7,35.8,286.8,421.8
18,20.4,51.3,22.6,72.2,106,2.4,5.4,11.4,21.1,46.9,293.8,426.4
19,20.7,51.5,23.6,73.9,106.9,2.4,6.2,11.4,21.2,53.3,299.9,428.5
20,21,54,24.6,74.1,107.6,2.6,6.3,11.9,21.8,59.9,305.3,431.3
21,21,54.4,28.2,74.8,107.6,2.7,6.5,12.9,23.2,69.5,310.9,432.7
22,21.3,54.7,29,76.7,107.6,2.9,7,13.1,24.7,76.8,317.2,436.2
23,21.3,55.3,29.3,76.8,107.7,2.9,7,13.1,26.2,81.8,325.7,438.5
24,21.4,57.3,30.1,77.1,107.9,3,7.7,13.3,26.7,88.7,331,439.2
25,21.4,57.6,31.3,78.3,108.5,3,8,14,27.3,97.7,339.4,442.2
26,21.4,58.5,31.3,81.1,108.6,3,8,14.9,29.6,105,342.1,443
27,21.8,58.5,33.8,81.7,108.7,3,8,14.9,30.3,116,346.7,444.8
28,22.8,61.2,33.8,83.1,108.8,3.1,8.1,14.9,30.9,125.1,349.4,449.2
29,24.5,,34.4,85.6,110.2,3.1,8.6,15,31.1,128.4,357.8,453.7
30,25.3,,34.4,86.5,110.3,3.2,8.6,15.5,31.2,136.1,359.9,456
31,25.9,,35.2,,110.5,,8.6,15.5,,141.9,,457.6
