DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0,16.3,2.3,38.5,85.9,0,2.4,9.1,16.6,0.9,199,421.3
2,0.6,19,3.8,39.1,86.7,0.1,2.4,9.2,16.7,3,208.8,422.9
3,1,19.5,4,41.5,87.9,0.2,2.5,9.2,16.7,4.5,217.5,430.1
4,1.1,20.1,4.3,44.6,89.4,0.4,2.5,9.2,16.7,6,224.4,433.9
5,1.1,20.3,4.9,48.6,91.5,0.4,2.6,9.2,17.1,6.7,234.9,437.4
6,1.3,20.3,6.1,52,93.8,0.4,2.6,9.3,18.7,9,244.9,439.4
7,1.3,20.5,8.7,55.6,95.4,0.5,2.6,9.3,19.4,11.7,249.4,442.9
8,2.5,21.4,9.2,58.7,98.3,0.5,2.7,9.6,20.7,12.2,263.6,447.5
9,3.6,23.2,9.4,59.5,100.9,0.5,3,9.7,21.4,14.8,273.4,450.4
10,5.7,23.7,9.6,63.4,102.4,0.6,3.9,9.8,21.5,20.1,276.8,452.7
11,6.1,24.3,10.3,67,105.1,0.7,4,9.8,21.5,22.2,280.2,459.4
12,6.1,27.1,10.9,69.2,106.5,0.8,4,10.6,21.5,24.8,284.5,464.9
13,6.1,28,11.9,69.8,107.5,0.8,4,10.8,21.5,28,289.4,467.8
14,6.5,28.9,19.2,71.4,107.9,0.8,4,10.8,22.5,30.9,293.3,471.1
15,7.2,30.3,21.6,72.9,108.2,0.8,4,11.2,23.6,37.4,298.3,475.6
16,8.1,30.3,22.3,73.8,109.8,0.9,4,11.3,25.1,42.9,304.9,478.7
17,9,32,25.3,74,110.1,0.9,4.1,11.4,25.4,53.6,318.1,479.8
18,9,32.4,25.9,74.9,110.3,1,4.4,12.4,25.5,64.3,325,483.3
19,9.1,32.5,27.8,75.3,110.8,1,5.6,12.4,25.6,76.7,332.4,488.7
20,9.3,34.9,27.9,75.9,110.8,1.1,5.6,12.6,25.8,89.1,335.6,492.4
21,9.5,35.3,28.7,76.9,110.8,1.1,5.9,14.1,27.1,104.5,342.7,494.9
22,9.8,35.9,32.7,77.8,110.8,1.7,6.3,14.4,27.4,112.7,350.4,495.5
23,9.8,37,33.7,78.7,110.9,1.9,6.3,14.4,27.6,117.8,362.6,496.6
24,9.8,37.6,34.2,78.9,110.9,2,7.1,14.6,28,123.7,371.5,497.8
25,9.8,37.9,34.3,79.7,110.9,2,7.6,15.2,28.1,135.5,382.5,499.9
26,9.8,38.2,34.3,80.9,111.1,2,7.6,16,30.9,144.5,386.3,500.3
27,10.5,38.3,34.3,81.6,111.1,2.1,7.7,16,31.6,154.1,391.4,500.7
28,11.9,41.3,35,82,111.2,2.2,7.7,16.1,32.4,159.9,395.6,502.5
29,12.7,,36.3,83.4,111.9,2.2,7.9,16.1,34.9,163.9,404.8,505.6
30,13.1,,37.1,84.6,112,2.3,7.9,16.2,37.1,175.2,413.1,507.9
31,13.8,,38.4,,112.2,,7.9,16.2,,186.8,,508.9
