DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.6,23.4,1.5,36.3,71,0,4.6,11.9,17.5,0.7,165.5,444.6
2,1.4,25,2.2,36.5,71.4,0.8,4.6,11.9,17.8,1.8,179.4,451.6
3,2,26,5.7,37.7,72.2,0.8,5.7,11.9,17.8,4.7,195.5,462.1
4,2.4,28.1,7.3,39.2,72.4,1.3,5.8,11.9,17.8,10.9,208.9,468.5
5,2.6,29.1,8.3,41.1,73,1.3,6,11.9,18.3,12.8,223.9,473.4
6,2.9,30,9.6,43.8,73.7,1.7,6.1,12.2,18.3,14.9,236.1,483.4
7,3.3,31.2,9.6,44.9,74.1,2.1,6.3,12.2,18.8,17,249.5,488.7
8,5.9,34.7,9.9,47.3,76.2,2.2,6.9,12.3,18.9,18.7,256.2,495.1
9,8,34.9,10.5,48.6,76.3,2.2,6.9,12.8,18.9,21.9,265.6,498
10,8.3,36.2,14.1,50.2,77.4,2.7,6.9,12.8,19.5,24.8,272.4,501.1
11,8.8,36.3,15.7,56.1,78.4,2.9,7.1,12.8,19.5,26.4,280.8,510.4
12,9.3,37.7,16.4,59.1,79.5,3.1,7.1,12.8,20.5,27.6,290.6,516.1
13,9.4,38.8,17.2,60.2,79.8,3.2,7.2,13.1,20.6,30.3,298.4,523.1
14,11.1,40.5,20.1,61.5,82.5,3.3,7.8,13.1,20.8,36.6,305.5,528.2
15,12.2,41.4,21.5,62.3,82.9,3.3,7.8,13.9,20.9,43.6,318.2,533.4
16,14.7,41.6,24.1,62.7,84.4,3.3,8,13.9,21.3,46.6,326.3,535.8
17,15.5,41.8,27.5,63,85,3.3,8.1,13.9,21.4,50.8,332.8,538.9
18,16.7,42.3,28,63.3,85,3.4,8.3,14.2,21.6,55,341.2,549.4
19,17.1,42.5,28.6,63.6,85.4,3.6,10.5,14.3,22.3,66.1,350.2,554.7
20,17.4,45.2,29.3,63.7,85.6,3.7,10.5,14.3,22.5,75.9,358.9,557.5
21,17.5,46.5,31,64.3,85.6,3.7,10.6,14.4,22.7,83.4,371,560.4
22,18.8,46.9,31.6,64.8,85.6,3.9,10.6,14.5,24.1,90.1,382.7,565
23,18.9,48.1,32.4,65.1,85.6,4.1,10.7,14.5,24.1,96.3,392.3,568.9
24,18.9,48.6,32.6,65.7,85.7,4.3,10.7,14.6,24.3,99.7,397.7,569.9
25,19,49,32.6,65.9,85.7,4.4,11.2,14.6,25.1,109.3,404,572.8
26,19.1,49.5,32.7,66,85.9,4.4,11.2,15.1,26.4,119.3,411.4,575.1
27,19.4,49.5,33,66.2,86.2,4.4,11.2,15.3,26.6,127.1,421.6,576.3
28,20,50.6,33,66.7,86.2,4.4,11.6,15.3,28.6,135.1,426.8,580.6
29,20.8,,33.8,67.9,86.5,4.4,11.6,15.7,29.1,145,429.1,584.5
30,21.3,,34.3,69.6,86.6,4.5,11.6,16,29.6,153.4,433.9,587.1
31,21.7,,35.1,,86.7,,11.6,16.5,,160.3,,587.7
