DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.7,10,0.6,15.8,52.6,0.5,4.3,20,40.6,2.3,166.4,301.3
2,0.9,11.7,1.1,16.1,52.8,0.6,4.5,20.1,42.6,6.1,171,302.4
3,0.9,12.7,1.4,16.9,53.6,0.7,4.6,20.9,43.3,11,177.5,305.9
4,0.9,12.8,2.3,18.1,56.3,1,4.6,21,47.1,12.6,184.3,309.4
5,1.2,13.2,3.6,20.7,57.9,1.4,4.6,21,49,14.5,189.4,311
6,1.3,13.6,4.2,20.9,61.6,1.4,5.5,21.7,49.9,17.6,194.9,313.5
7,2.2,13.6,4.4,22.3,62.3,1.4,5.5,21.7,52.2,20.8,200.8,315.7
8,3.1,15,5,23.6,63.5,1.6,5.5,21.8,53.9,23.7,206.1,319
9,3.5,15.8,5.4,24.5,65.4,1.6,6,23.9,55.9,27.1,211.7,320.6
10,3.5,15.9,5.5,24.9,67.2,1.6,6.9,24,57,30.3,215,322.3
11,3.6,15.9,6.6,26.6,68.6,1.8,6.9,24.1,59.7,34.4,220.5,326.9
12,3.6,17.4,6.8,29.1,69.7,2.5,7.5,24.4,60.6,38.2,226.1,330.1
13,3.9,17.5,7.4,29.5,70.9,3.1,7.9,25.1,63.5,42,228,330.9
14,4.3,18.2,8.3,33,72.9,3.3,8.1,25.6,67.3,46,231.4,333.7
15,4.3,18.4,9.6,33.4,73.2,3.7,8.4,26.6,68.2,51.2,235.3,334.8
16,4.5,18.4,10.2,34.5,74,3.7,8.7,27.8,68.6,58.7,239.1,336.6
17,4.8,18.4,10.2,35.1,74.5,3.7,9.8,28.8,72.3,64.6,242.1,339.3
18,5.7,19,10.7,35.3,75.6,3.7,10.1,28.8,72.7,70,249,341.3
19,6.9,19.2,11,37.2,76.1,3.7,11.6,28.8,73.3,78,256.4,342.8
20,7.1,20.9,11.7,39.3,77.1,3.8,11.6,29.8,73.5,83.8,260.6,344.2
21,7.1,21.5,12.7,39.9,77.8,3.8,12.2,30,75.5,92,265.8,345.9
22,7.2,21.6,13.5,40.2,78.2,3.8,12.9,31.1,76.1,96.9,270.4,349.4
23,7.4,22.4,13.8,40.8,78.4,3.8,13.9,31.4,77.2,102.7,275,351.1
24,7.4,24.2,14.5,42.5,78.5,3.8,15.3,33.1,78.4,108.1,279.8,351.5
25,7.7,25.2,14.5,45.1,78.6,3.8,16.3,33.4,80.2,114.6,283.8,352.6
26,7.8,25.2,14.7,45.2,78.6,4,16.7,35.6,82.6,121.2,286,353
27,8,25.2,14.7,46,79.9,4,17.9,36.6,84.9,130.4,289.7,354.5
28,9,25.8,14.9,47.2,79.9,4,18.3,37.2,86.6,136.8,292.1,357.9
29,9.6,,15.1,49.1,80.8,4,19,38.5,88.4,144.4,293.2,358.5
30,9.6,,15.5,51.8,80.8,4.3,19.4,39.4,90.9,154.7,296.7,358.8
31,9.8,,15.7,,81.6,,19.4,39.9,,160.3,,359.7
