DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3.6,41.5,0.7,57,129.8,0.2,31.6,50.1,74.3,0.4,194.3,494.5
2,5.2,47,1.2,58.8,132.7,2.7,32.2,50.8,76.8,1.9,204,501.1
3,7.2,48,4.6,61.3,134.4,4.2,32.5,50.9,77.6,5,214.1,513.5
4,9.2,48.8,10.6,64,136.4,5.7,32.8,51,77.8,6.9,226.7,521.3
5,10.2,51,13.2,68.3,137.5,6.4,33,51.4,78.3,8.7,239.1,526.8
6,11.3,52.2,14.8,69.9,139.4,7.7,33.2,51.9,79.2,10.6,249.9,532.8
7,11.9,54,16.4,74,145.3,8.8,34.4,53.7,80.1,14.8,264.9,541.7
8,15.4,55,17.8,76,146.1,10.1,34.6,55.1,80.3,15.9,285.6,546.7
9,21.1,56.6,19.8,77.5,148.3,10.9,35.5,56.3,80.4,17.4,295.6,550.8
10,23.5,57.9,21.1,81.3,148.4,14.4,35.8,57,81.2,21.1,308.3,555.1
11,25,58.7,23.6,82.7,150.4,15.4,36.5,57.7,81.3,23.8,318.2,562.3
12,26.6,60.5,25.4,87.3,152.5,16.5,36.7,57.9,81.5,27,329.2,571.8
13,27.2,64.5,27.5,90.5,155,17.4,36.8,58.2,81.5,32,342.3,576.4
14,29.1,66.2,30.7,95.2,157.7,19,37.1,58.5,82.7,37,356.8,581
15,30,67.5,33.6,97.8,157.9,19.6,37.4,60,82.9,39.8,370.1,587.2
16,32.6,67.6,35.7,99.6,158.6,20.2,38.5,61,84,43.6,378.4,593
17,33.5,69.7,39.3,100.2,159,20.6,39.3,61.6,85.3,49.9,384.5,598.4
18,34.7,72.8,40.9,101,161.9,21.3,41,62.2,85.9,56,389.9,608.3
19,35.2,78.9,43.7,105,163.2,22.3,42.2,63,86.5,68.3,399.4,615.4
20,36,79.9,44.5,107.2,164.1,22.7,42.9,63,86.8,74.5,406.5,622.3
21,36.7,80.4,47.1,109.9,164.5,23.3,43,63.4,88.5,82.5,417.7,625
22,37.6,80.4,48.2,110,164.8,24.8,43.9,63.5,89.7,97.2,426.6,629.8
23,37.8,81.3,48.5,111.6,165.1,26.3,44.5,64.4,91.2,104.9,436.7,636.8
24,38,82.3,48.7,113.6,166.2,27.1,45.6,64.8,93.6,116,444.5,639.3
25,38.4,83.5,49.3,114.9,166.7,27.6,47,65.3,97.4,125,451.8,641.9
26,38.6,84.3,49.3,117.7,167.2,28.2,47.3,67.6,100.3,132.8,457.8,644.6
27,38.7,84.6,50.6,119.1,168.8,28.9,48.1,68.9,104.6,142.6,465.9,646.8
28,39.6,85.9,51.3,120.1,169.7,30.1,48.4,69.7,106.4,151.7,470.6,652.8
29,40.7,,52.9,125.2,170,30.7,49,71.4,109,160.2,476.8,656.5
30,41,,54.8,127,170.6,31.2,49.2,71.6,113,169.8,485.1,660.8
31,41.3,,55.1,,171.3,,49.8,72.9,,183.1,,662
