DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,4,25.4,0.9,42.6,92.3,0.6,12.6,23.2,38.4,0.8,141.3,353.8
2,4.5,27.8,1,44.6,93.2,2.1,12.7,23.4,38.5,1.7,148.2,358.5
3,5.3,28.9,5.4,45.2,94.5,2.9,12.7,23.4,39.9,4,156.3,369.1
4,5.4,29.6,10.7,47.1,95.5,3.3,12.8,23.4,40.3,5.4,165.8,374
5,6.1,31.2,11.8,50.3,97.9,3.5,12.9,23.7,40.5,6.3,174.6,377.8
6,6.9,31.7,12.6,54.5,99.3,4.6,13.9,24.1,42.9,8.5,184.3,380.1
7,8.7,32.7,13.4,57.3,102.9,5.4,14.8,24.8,43.5,9.1,196.5,384.2
8,12.4,33.8,14.1,60.8,103.5,6.1,15.2,25.4,43.6,10.1,207.8,388.3
9,14.5,35.4,15.5,61.6,104.8,6.4,16.3,25.9,43.7,11.6,219.7,390.3
10,15.7,36,16.5,64.3,105,7.1,16.3,26.7,44.6,13,226.8,392.3
11,16.5,36.1,17,66.1,106.1,7.5,16.5,27.1,45.2,14.1,233.4,396.1
12,17.3,37.3,18.9,68.7,107.4,7.7,16.5,27.1,46.7,16.9,242.5,402.7
13,17.6,39.6,20.2,71.6,107.8,7.9,16.6,27.2,47.5,21.6,249.7,405.8
14,17.9,39.8,22,73,108.7,8.2,16.6,27.3,48.6,25.5,258.6,409
15,18.8,40.2,23.3,75.5,109.4,8.3,16.7,29.4,49,28.7,264.9,412.5
16,19.7,40.4,25.2,77.7,109.9,8.4,16.8,29.9,50.5,32.6,270.9,415.4
17,20.5,40.5,26.6,78.4,110.4,8.6,18.5,29.9,51.2,37.3,273.9,418.3
18,21.6,41.5,27.7,78.6,112.9,9.2,19.5,30,51.9,42.1,280.2,426.5
19,22,47.4,31.4,79.1,114.1,9.3,20.3,30.1,52.8,51.8,286.8,429.6
20,22.4,48,31.7,80.3,115,9.4,20.4,30.1,53,58.7,291.6,433.3
21,22.5,49.1,34.4,80.9,115.5,9.7,20.6,30.6,53.9,64.4,298.5,435.1
22,23.2,49.4,34.9,83.4,115.6,10.7,20.9,30.6,55.6,73.9,304.7,439.8
23,23.3,50.3,35.3,83.4,116.4,11.1,20.9,31.3,56.7,80.7,314.7,443.1
24,23.4,51.3,35.9,84.4,116.5,11.4,21.8,31.5,58.7,84.3,321.2,444.4
25,23.4,52,37.5,85.1,117.5,11.6,22,32,61.5,90,325.1,445.3
26,23.5,52.6,37.5,87.3,118.2,12,22,32.9,63.3,97.1,329.5,447
27,24.1,52.7,38.3,88.1,119.4,12.1,22.6,33.4,66,105.3,336.8,447.9
28,24.5,54.4,38.7,88.9,119.7,12.4,22.9,33.8,66.7,112.4,339.3,451.6
29,24.9,,40.8,90.1,121,12.4,23,35.5,68.1,117.9,344.2,453.1
30,25,,41.7,90.7,122,12.5,23.1,35.7,71.2,123.5,348.4,456.9
31,25.3,,41.9,,122,,23.6,37.6,,129.7,,458.1
