DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,3.6,18.9,1.3,39.7,96,0.9,11.7,26.7,44,1.4,176.5,388.8
2,4.2,21.1,1.9,40.5,99.2,2.7,11.7,27.4,44.3,3.3,184.8,391.7
3,4.3,23,3.8,41.2,100.6,2.9,11.8,27.5,44.7,6.1,199.4,396.9
4,4.7,23.8,7,44.2,102.6,3.6,11.8,27.6,46.2,8.8,208.4,403.7
5,5.2,26.2,8.2,47.3,103.5,3.8,11.9,28.1,46.3,11.1,215.1,405.8
6,5.6,26.7,9.5,49.9,106.3,4.2,12,28.5,48,12.3,226.5,408.1
7,5.8,27.3,10.2,52.1,108.7,4.5,13.6,29.1,49.8,14.6,235.7,412.5
8,6.6,27.8,12,53,110.9,4.7,13.8,29.2,50.8,16.3,247.6,417.5
9,7.3,29,13.1,55,115.7,4.8,15.3,29.6,52.4,17.9,261.9,419.1
10,8,29.2,13.7,57.7,119.6,4.9,15.6,29.7,53.8,21.2,265.6,420.9
11,8.7,29.4,14.1,61.9,121.5,5.4,16.4,29.8,54.1,25.3,273.4,428.3
12,9.1,30,14.5,66.5,124.2,5.9,17,29.8,56,29.5,279.6,433.1
13,9.1,31,16.7,68.6,126.6,6.2,17.2,30,56.2,32.3,286.8,436.1
14,9.6,31.9,20,73.2,128.9,6.2,17.5,30.4,58.2,38.9,293.2,437.9
15,10,32,20.9,74.7,130.7,6.3,17.7,31.8,61.7,42.5,299.5,440.9
16,11.1,32.5,22.9,77.4,133.5,6.4,18,32,63.7,45.6,306.1,443.7
17,12.2,32.5,24.2,78.6,134.6,6.6,19.1,32.3,67.3,54.3,310.4,446.1
18,12.8,34.3,25,78.7,136.4,7.1,19.8,34,68.4,60.2,314.7,452.2
19,14.3,35.3,25.2,79.9,137.2,7.4,21,34.8,69.3,68.5,324.5,457.7
20,14.6,36.5,26,80.4,138,7.4,21.4,36,69.9,76.5,328.9,459.2
21,14.7,38.4,28,81.4,138,9.5,22.2,36.4,70.5,85.2,337.5,460.1
22,15.1,38.7,28.5,81.7,138.2,10,22.2,36.5,71.2,96.6,343,463.9
23,15.1,39.1,28.7,83,138.3,10.3,22.4,36.7,74.7,103.7,350.6,466.4
24,15.6,39.3,29.3,83.5,138.6,10.4,22.5,37.1,76.7,111.4,357.8,467.4
25,16.5,39.7,29.5,85,139.4,10.9,23,37.5,78,119.3,361.6,469.5
26,16.6,40.7,30.5,86.8,139.8,11,24.1,37.8,78.9,126.1,365.7,470.3
27,17,40.7,32,87.6,141.4,11.1,24.1,39.1,83.9,137.7,369.1,471.1
28,18.1,42.8,32.3,89.3,142.8,11.4,24.2,40.3,84.5,144,371.8,475.3
29,18.4,,33.3,90.9,143.6,11.5,24.8,41.9,88.4,149.8,375.4,477
30,18.4,,34.7,92.6,145.4,11.6,24.8,42,91.2,156.4,382.6,479
31,18.7,,37.1,,145.7,,25,43.6,,169.6,,480
