DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.8,28.2,0,5.2,25.8,0.8,88.8,216.2,380.7,8.6,284.2,661.4
2,5.5,28.2,0,8.5,26.4,2.7,91.7,218.2,382.6,11.1,295.9,676.6
3,8.4,28.2,0.1,8.5,26.4,5.6,96.8,222.5,384.8,16.6,310.6,692.2
4,10.5,28.2,0.1,9.8,28.6,7.5,98.9,228.2,396.7,21.3,324.6,705.6
5,10.9,28.2,0.4,9.8,29.2,13.8,104.6,232.8,400.8,25.4,344.2,718
6,10.9,28.3,0.9,12.5,30.4,13.9,108.9,237.6,404.3,32.1,364.6,725.5
7,11.2,29.5,0.9,12.5,41.2,16.9,111.5,245.4,409,36.9,385.9,734.3
8,13.4,29.9,0.9,12.7,45.6,18.9,113.6,249.1,413.3,42.1,401.2,739.7
9,14,29.9,0.9,12.7,47.7,20.7,116.6,253.2,418.1,48.9,408.1,745.3
10,14.1,30.6,1.7,13.3,47.8,23.6,122.9,259,425,55.1,422.8,747.9
11,14.1,31,1.8,13.4,50.8,26,126.5,263.2,432,60.5,436.9,754.1
12,14.4,31.1,3.1,13.9,52.6,29,130.8,269.2,436.9,64.9,459.4,756.7
13,18.2,32.3,3.1,16.2,53.2,31.2,136.3,271.4,440.6,70.9,485.4,762.2
14,20,34.3,3.2,17.9,54.1,40.1,140.5,275.9,446.3,76.1,496.3,768.7
15,21.1,35.1,3.5,18.5,54.2,45.8,146.9,285.6,452,79.9,508.2,771.6
16,25.1,36.1,3.5,18.5,56.8,46.4,154.2,294,456.3,85.7,520.7,779.6
17,25.1,44.2,3.5,18.6,57.1,48.1,155.3,300,464.5,96.5,534.3,782.2
18,25.8,44.6,3.5,20,57.2,51.9,157.7,308.8,466.2,103.6,543.9,783.9
19,26.4,46,3.5,20,58.2,54.7,159.1,315.1,473.7,111.2,555.4,788.4
20,26.4,46.2,3.5,20,60.6,56,163,321.1,480.7,118.7,558.5,791.1
21,26.4,46.2,4.2,20.2,62.5,58.1,169,327.8,484.2,129.3,564.7,798.5
22,26.4,47,5,20.3,63.4,61.2,171.6,334.8,487.7,137.9,572,803.2
23,26.4,48.1,5.1,21.5,64.2,68.5,173.3,338.9,489.8,146.1,579,806.8
24,26.6,49,5.1,21.5,65.1,71.7,179.1,341.3,498.1,159.9,593.6,810.4
25,26.9,49.7,5.1,21.8,65.9,74.1,182.9,348.8,507,173.6,612.4,812.2
26,27.2,49.7,5.2,22.4,69.6,75,188.5,351.8,510.6,186.4,627.8,815.3
27,27.2,51.6,5.2,23.6,70,78.1,193,358,515.4,206.2,638.8,816.1
28,27.4,52.9,5.2,25.7,70.6,80.5,198.8,360.1,524.5,222.9,647.8,818.7
29,27.6,,5.2,25.7,70.9,85,202.5,366.6,528.4,242.7,650.6,821.3
30,27.7,,5.2,25.7,71.5,87,205.7,373.2,542.5,253.1,654.8,824.7
31,28.2,,5.2,,72.8,,210.9,376.9,,271.6,,829.3
