DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.3,11.6,0,8.7,20.2,0.8,52,166,321.3,3.1,211.2,431.4
2,3.5,11.6,0,8.7,21,2.6,54.2,168.8,324.1,5,219.9,442.5
3,3.9,11.6,0,8.7,21,7.1,56.3,172.9,328.1,6.9,226.2,456.6
4,4.1,11.6,3.1,8.7,21,8.8,57.6,173.7,335.5,10.2,233.1,466
5,5.6,11.6,3.2,9,23.5,9.4,59.2,177.9,338.5,13.1,239.6,472.7
6,5.6,11.6,3.2,11.1,23.8,13.5,60.8,179.7,342.5,16.3,249.3,482.2
7,5.8,12.6,4.8,11.1,23.9,16.6,63.6,188.3,344.7,18.9,259.5,489.1
8,6.7,12.6,4.8,11.1,25.1,17.1,65.4,190.3,348.2,23.4,267.4,493.7
9,6.7,12.6,4.8,11.1,25.8,18.3,69.3,195.3,349.8,31,274.4,496.2
10,6.7,12.6,5.1,11.9,25.8,19.5,73.1,200,351.4,36,277.6,498.3
11,6.7,12.6,5.2,11.9,26,23.9,77.1,210.2,359.3,36.5,283.5,501.2
12,6.7,12.6,5.4,11.9,27.1,25,81.9,212,366.5,40.2,296.9,508.1
13,7.6,14.9,5.4,11.9,28.6,26.1,86.5,214.1,367.2,43.7,315.8,515.5
14,10,16,6.1,11.9,29.2,26.6,87.9,221.4,374.6,50.1,322.8,517.7
15,10,16.3,6.1,11.9,29.2,27.3,92.5,226.3,385.8,50.1,327.6,520.7
16,10.6,16.6,6.1,11.9,29.3,27.7,98,229.6,391.1,55.8,330.5,528.3
17,10.6,18.5,6.1,12.8,29.3,27.9,101.9,237,394.3,64.8,336.3,530.9
18,10.8,20.8,6.1,12.8,29.3,30,106.5,243.8,395.2,70.2,342.9,532.2
19,11.2,21.4,6.1,12.8,31.9,30.4,110.1,249.7,400.5,78.5,345.7,537.4
20,11.4,21.4,6.2,12.8,35.3,31.6,113.2,260,409,89.3,350.2,548.7
21,11.4,21.5,7.1,13,37.8,33.4,119.2,265.7,411.6,94.7,352.4,550.5
22,11.4,21.5,7.8,13.7,37.9,35.2,120.2,274.5,418.3,103,357,553.1
23,11.5,22.4,7.8,15.4,37.9,38.4,122.5,282,422.1,111.6,365.8,555.7
24,11.5,23.5,8.2,16.4,39,40.6,128.5,285.1,423.1,122.6,373.1,557.3
25,11.5,23.5,8.2,17.3,39.8,42.1,132.3,292.3,429.5,131.2,386.7,558
26,11.5,23.5,8.2,17.3,43.4,42.8,138.9,298.6,436.8,147.2,400.2,560.1
27,11.5,23.5,8.7,19.7,44.4,44.7,143.2,300.8,444.5,164.1,411.3,561.1
28,11.5,23.5,8.7,19.9,46.3,47.6,148.2,304.6,447.4,176,422.6,563.7
29,11.5,,8.7,20,46.4,49,151.3,308.2,451.7,188.8,427.5,564.8
30,11.5,,8.7,20,46.8,50.1,153.9,310.8,464.1,197.2,427.8,570.8
31,11.6,,8.7,,48.3,,159.7,315.8,,203,,576.7
