DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.1,13.3,0,5,17.1,0.4,64,170,290.3,8.8,221.5,460.1
2,3.2,13.3,0,5,17.1,6.1,65.2,172.9,293.7,9.5,232.7,469.9
3,3.4,13.3,0,5,17.6,9.5,67.1,176.4,297.5,12.8,244.9,482.1
4,4.4,13.3,0.6,5.1,18.9,14.6,69.7,179,302.7,19.9,250.8,490.2
5,5.9,13.3,0.6,5.7,18.9,15.9,73.5,179.7,305.8,25.7,259.6,499.1
6,5.9,13.3,0.6,7.8,19,16.7,77.1,181.6,308.4,34.2,270.4,504.4
7,6.1,14.2,0.6,7.8,19.3,20.4,79.4,188.9,310.2,38.9,280.4,508.8
8,6.4,14.2,0.6,7.8,21.1,21.5,83.7,190.8,317.4,43.9,288.9,511.6
9,6.6,14.2,0.6,7.8,22.4,22.8,85.9,194.6,321,45.3,291.8,513.8
10,6.6,15.3,1.9,8.8,22.7,24,89.4,198.1,326.2,48.5,296,514.9
11,6.6,15.3,1.9,8.8,25,25.4,92.9,202.4,329.6,50.3,299,516.7
12,6.7,15.3,2.6,9,27.3,27.5,95.7,207.8,337.2,52,310.4,519.7
13,8.8,15.7,3.5,9.4,28.2,29.4,99.2,210.5,340.5,55.9,326.1,526.3
14,10,16.4,3.5,10.4,28.9,30.1,102.3,214.9,345.5,59.5,334.9,530.2
15,10.8,16.5,3.5,11.1,29.4,32.3,105.3,219.3,351.5,62,344.2,531.5
16,12.1,17.5,3.5,11.2,29.7,33.1,112.8,225,353,67.4,353.8,537
17,12.1,20.4,3.5,11.8,30.2,33.2,113.4,231.9,358.6,76.3,366.5,540.8
18,12.6,21.2,3.9,12.8,30.2,33.8,114.9,237,360.5,79.9,373.3,542.3
19,12.9,21.6,3.9,12.8,33.5,36.7,115.7,241.3,366.8,86.9,383,545.7
20,12.9,21.6,3.9,12.8,36.3,38.9,119.7,244.3,370.6,96.9,386.2,548.8
21,12.9,21.6,4,13.1,36.8,39.5,124.3,249.2,374,105.2,391.9,551.8
22,12.9,22.6,4.5,13.1,37.5,43.1,126.8,255,376.7,112.8,397.8,554.2
23,12.9,24.8,4.7,13.2,37.6,46.3,127.5,257,379.6,120.9,404.4,558.3
24,13.1,25.5,4.7,13.3,38.6,49.9,131.9,260.8,381.3,130.8,410.4,562.3
25,13.1,26.4,4.7,13.4,39,50.9,133.8,266.5,392.4,141.3,422.4,563.5
26,13.3,26.4,5,15.1,41.5,53,139.7,269.4,394.7,152.1,433.2,566.8
27,13.3,28.4,5,15.9,42.4,57,145,272,397.3,168.5,444.3,567.5
28,13.3,30.3,5,16.5,42.5,59.4,148.6,275,404,185.4,448.8,570.2
29,13.3,,5,16.5,42.5,61.4,155.7,279.7,407.8,198.4,449.9,572.6
30,13.3,,5,17.1,43.5,61.8,161.1,285.7,419.2,210.3,456.2,577.7
31,13.3,,5,,43.8,,164.6,289.7,,216.2,,581.3
