DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.2,3.7,0,7.7,27.7,4.3,63.2,167.8,273.8,2.9,141.4,295.8
2,0.2,3.7,0,7.7,28.1,7.1,66.2,172.1,279,7.4,149.4,304.1
3,0.2,3.7,0,7.9,29.3,8.1,68.4,173.2,283.8,13.3,158.6,308.4
4,0.2,3.7,0,8,30.1,10.6,69.5,176.1,288.4,17.8,163.2,312.5
5,1.1,3.7,0.2,8,30.4,15.3,73.3,178.3,291.8,21,167.6,316.4
6,1.7,4.2,0.7,8.3,30.9,16.4,75.9,181,296.7,26.3,172.5,319.1
7,1.7,4.5,0.9,8.3,32.7,18.8,78.2,182.7,301.1,28.3,178.9,321.4
8,2.3,5.8,0.9,8.3,35.2,21.4,78.6,184.5,308,32.3,183.2,324.7
9,2.4,5.8,0.9,8.4,35.8,22.2,80,187.5,309.8,36.2,189.3,325.4
10,2.4,5.8,0.9,8.4,36.2,25.5,85.6,190.2,314.7,37.7,196.2,327
11,2.5,5.8,1,8.7,38.7,25.9,92.3,193.3,320.7,42.5,198.1,331.3
12,2.7,6.9,1,9.8,40.7,26.9,96.4,200.1,327.8,45,206.6,332.8
13,2.9,8.3,1.2,9.8,41.5,29,104,202.6,335.8,47.6,209.1,336.7
14,3.1,8.4,1.3,13.3,41.5,33.2,106.2,206.5,341.1,53.2,213.5,338.1
15,3.6,8.5,2.8,14,42.7,35,110.2,211.3,343.6,54.9,216.2,339.5
16,3.6,8.8,2.8,14.2,42.9,36,112.8,215.3,346.2,55.7,227.5,342
17,3.6,9.5,2.8,14.2,43.8,36.1,116,219.2,349.1,58.3,233.4,342.6
18,3.6,11.3,2.8,15.3,45.8,36.6,121,222.7,352.9,62,236.9,343.3
19,3.7,11.3,2.8,15.8,48.9,36.9,124.1,225,360.7,66,238.4,345.8
20,3.7,11.8,3.3,16.3,51.4,40.8,129.5,228.1,363.6,71.5,243.4,349.1
21,3.7,11.8,4.2,17.3,53.7,41,135.6,232.8,369.2,75.2,244.8,349.6
22,3.7,11.9,4.3,19.1,54.2,46.3,137,235.6,372.5,78.4,250.4,351.5
23,3.7,12,4.5,21.6,55.6,49.8,138.3,240.1,374.3,87.9,255.9,354
24,3.7,12.2,4.7,23.8,55.9,50.7,141.7,242.8,376.8,96,259,354.1
25,3.7,12.3,6.9,24.1,56.1,51,145.9,248.9,381.1,101.8,259.8,354.1
26,3.7,12.4,6.9,24.2,56.8,51.8,150.5,253.3,386.1,106.9,267.9,354.3
27,3.7,12.5,7.6,24.3,57.1,53.2,151.4,258.7,390,113.3,277.9,354.4
28,3.7,12.9,7.6,24.8,57.6,55.3,156.2,261.4,394.7,120.4,283.7,354.6
29,3.7,,7.6,26.5,58.5,58.8,157.4,264.7,404.3,125.3,286.6,355.1
30,3.7,,7.6,27.2,59.3,61.8,159.3,268.8,406.7,130.8,289.1,356.9
31,3.7,,7.6,,59.6,,162,271.5,,133.5,,359.9
