DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.5,17.9,0,3.7,14.3,0,73.1,168.2,302.7,7.7,304.7,665.8
2,0.5,18,0,4.3,14.4,1.3,74.8,172.5,306.2,9.2,322.4,685.2
3,0.8,18,0,4.3,14.8,4.3,78,175.3,309.4,16.1,336.8,697.6
4,1.2,18,0.1,4.8,15.7,5.8,79.6,179.3,312.9,19.6,351.2,710.2
5,2.8,18,0.1,5.5,16.8,8.2,85.4,181.6,315.7,25.5,365.3,718.9
6,3.1,18,0.1,6.4,17.2,11.8,88.3,187.4,320.4,36.4,380.5,724.4
7,4,19.3,0.1,6.4,17.7,13.6,92.6,191.2,323.4,40.2,400.7,728.7
8,4.3,19.6,0.1,6.4,19.6,15.8,94.1,195.1,325.9,44,414.3,730.5
9,5.8,19.7,0.2,6.4,21.5,19,97.3,200.2,328.2,48.8,426.2,732.5
10,6.3,19.7,0.2,6.4,21.9,19.8,100.5,203.4,335.6,53.5,437.6,734.9
11,6.4,19.7,0.5,6.5,24,20.8,102.7,207.1,343.3,58.4,447.3,739.4
12,7,19.7,0.9,7.3,25.8,23.1,108.2,211.9,346.4,65.8,469.1,743.7
13,9.7,19.9,1.2,7.3,27.1,24.9,112.5,213.5,350.3,69,497.8,751.9
14,12.2,21.2,1.4,8.9,27.2,33,114.8,215.9,358.2,73.3,518.1,756
15,14.9,21.6,1.5,9.1,27.5,40.1,117.6,222.1,360.2,77.8,532.5,759.7
16,16.1,23.9,1.5,9.1,27.7,40.5,120.4,226.5,368.8,87.6,554.5,762.2
17,16.6,26.1,1.6,9.1,30.8,41.6,124.7,229.9,374.9,95.4,562.4,764
18,17.4,27.4,1.6,9.6,34.4,41.9,126.4,234,379,103.2,568.5,767.3
19,17.4,27.9,1.6,9.6,36.3,42.3,128.9,239.7,385.9,116.6,572.9,773.5
20,17.4,27.9,1.6,9.6,36.7,44.2,131.7,246.9,389.6,129.3,576,779
21,17.5,27.9,1.9,9.7,36.7,46.7,133.6,255.9,394.6,139.4,579.6,784.7
22,17.5,28,3.1,9.8,37.6,49,139.2,258.4,396.7,147.3,589.9,790.7
23,17.5,28.8,3.1,11.8,37.6,50.8,140.8,268.5,400.8,158.8,598.3,792.2
24,17.5,30.2,3.1,11.8,39.6,53.1,146.6,273.1,405.8,168.7,605.8,797.3
25,17.5,31.7,3.1,12.7,39.7,59.6,150,276,414.3,178.9,619.6,798.5
26,17.5,31.7,3.2,13.2,41.5,61.4,153.2,279.9,418.9,191.6,630.1,800.4
27,17.6,32.9,3.7,13.2,41.8,63.1,156.8,283.7,423.4,216.4,642,800.8
28,17.6,34.8,3.7,13.6,42.5,65,160.6,285.2,432.6,226.4,651.9,803.1
29,17.6,,3.7,13.6,43.9,68.8,160.9,287.9,438.3,245.7,654.1,804.2
30,17.9,,3.7,13.7,45,72.1,163.7,293.1,446.5,261.6,658,809.1
31,17.9,,3.7,,46.1,,165.2,297.4,,285.6,,810.8
