DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.1,17,0,9.7,25.8,0.8,71.2,161.1,294.5,5.7,220.6,526.2
2,4.6,17,0,10.1,25.8,3.9,73,164.1,296.3,5.8,235.6,547
3,5.7,17,0,10.1,25.8,4.7,76.9,165.1,299.8,11.9,246.5,557.4
4,6.3,17,0.1,10.6,28.6,5.5,77.5,169.3,303.1,16.4,258.1,569.9
5,6.9,17,0.1,10.9,29.3,12.4,79.4,173.6,306.6,20.7,276.7,578.8
6,7.2,17,0.1,11.1,30.6,14.6,84.1,178.1,310,28.4,294.5,582.7
7,8.3,17,0.1,11.6,34.2,18,87,181.3,312.4,32.5,302.9,586.5
8,10.6,17.4,0.1,12.3,40.6,19.7,87.2,182.5,315.3,38.5,309.5,588.5
9,11.1,17.5,0.1,12.3,43.3,20.8,88.4,184.6,317.8,46.2,315.2,588.7
10,11.1,17.5,1.4,13.3,43.4,22.7,93.7,187.9,319.8,50.3,328.3,590.5
11,11.2,17.5,1.6,13.3,47.2,25,96.2,190.7,324.7,53,336,591.8
12,11.3,18.2,2.7,13.3,48,30,101.6,192,328.7,56.1,354.9,593.1
13,14.3,18.2,3.6,15.8,50.6,36.5,104.3,196.2,331.5,60.6,371.1,605.3
14,15.8,18.2,3.6,15.8,51.1,38.8,105.8,198.2,336.8,64.8,383.5,607
15,16.3,18.2,6.3,16.1,52.1,40.6,110.2,208.1,342.7,69.3,395.7,607.5
16,16.5,18.2,6.4,16.1,53.9,41.5,115.5,214.2,345.8,73.9,407,610.7
17,16.5,19.1,6.4,16.7,58.7,41.7,115.8,223.1,351.4,78.3,416.2,612
18,16.8,19.1,6.4,20.1,59.2,43.1,118.6,229.4,353.4,82.4,422.8,612.7
19,16.8,19.1,6.4,20.1,62.3,43.3,118.8,238.6,361.7,88,425.5,614.4
20,16.8,19.1,6.4,20.1,65.4,45.5,121.5,242.1,365.8,99.3,427.7,617.1
21,16.8,19.1,6.5,20.5,68.1,46.8,126.5,250.5,369.8,105.5,432.1,624.8
22,16.8,19.4,6.6,20.5,68.5,50.2,127.5,252.8,371.5,115.8,437.7,628.6
23,16.8,20.1,7.3,21.6,69.4,53.7,128.7,253.7,372.5,120.5,444.2,628.9
24,16.8,20.3,7.3,22.2,69.7,57.6,131.7,256,375.6,124.3,455.6,628.9
25,16.8,20.7,7.3,22.2,71.8,59.4,134.7,267.5,381.8,131.7,465.7,629.1
26,16.8,20.7,7.3,22.2,73.4,63.4,140,271.7,383.9,140.8,479.3,629.4
27,16.8,20.7,9.5,23.1,74.6,66.3,142.8,275.1,387.5,148.2,493.2,629.4
28,17,20.8,9.5,24.5,76,68.2,146.4,277.1,393.2,154.5,504.1,629.7
29,17,,9.5,24.5,77.2,68.8,152.6,280.3,394.9,169.2,513.2,629.8
30,17,,9.5,24.7,77.2,68.8,155.6,284.1,400.3,182.5,516.6,632.8
31,17,,9.5,,77.3,,157.3,289.1,,209.9,,638.6
