DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,0.9,18.8,0,7.6,19.2,0.4,84.1,186.4,327.3,5.5,279.5,624.3
2,3.2,18.8,0,7.8,19.3,1.6,86.6,188.6,332.2,7.8,293.7,645.2
3,3.7,18.8,0,7.8,19.4,4,90.5,193.2,336.8,11.9,305.2,656.4
4,5.1,18.8,0.7,8.2,20.1,5.7,91.4,196.5,340.4,17.1,315.7,672.3
5,7.5,18.8,0.8,8.2,20.6,9.6,94.3,199.1,343.5,26.6,334.1,686.7
6,7.6,18.8,0.8,9.2,21.6,10.5,98.3,204.2,346.6,32.7,347.9,695.4
7,8.2,19.4,0.9,9.2,25.3,12,100.2,208.7,350.1,42.5,361.8,702.1
8,8.4,19.7,0.9,9.2,27.9,13.8,102.3,210.6,353.7,45.7,370.3,705.9
9,8.8,20.1,0.9,9.2,29.4,17.7,104.1,215.5,358.4,50.7,379,708.7
10,8.8,20.1,1.9,9.2,31,19.9,106.6,219.3,360.1,54.8,386.3,709.9
11,8.9,20.1,2,9.2,32.9,21.4,110.3,226.3,367.9,61.6,396.1,712.2
12,8.9,20.1,3.4,10.4,35.7,22.1,114.6,229.9,371.9,65.8,421.1,716.4
13,13,20.5,3.5,11.3,36.2,24.7,119.4,231.7,375.9,69.1,450.4,726.5
14,14.8,21.2,4.5,12.1,36.2,36.4,122,237.8,379.1,76,467.9,730.6
15,16.3,21.7,5.2,13.2,36.2,44.9,124.6,245.1,383.5,80.7,480.1,732.2
16,16.8,22,5.2,13.2,38.1,45.8,131,249.7,388.9,89.8,499.7,736.3
17,17.6,29.2,5.2,13.7,40,47,134.3,254.3,394.1,97.9,507.9,738.1
18,18.1,30.7,5.2,14.8,42.6,48.1,137.9,258.9,399.5,104.5,515.4,740.3
19,18.4,31.5,5.2,14.8,45.2,49.3,141,266.3,408.3,111.8,522,746.4
20,18.6,31.6,5.2,14.8,46.2,51,143.8,272.1,413.6,125.2,525.9,751.1
21,18.7,31.6,5.4,14.8,46.8,52.9,147.4,276.5,415.8,135.2,532.7,754.8
22,18.7,31.9,7,14.9,46.9,56.4,150.7,280.5,418.7,142.4,542.5,757.8
23,18.7,33.2,7,15.3,47,62.3,153.2,288.2,420.7,149.7,551.1,760.3
24,18.7,36.1,7,15.4,48.3,65.5,159.4,294.4,424.4,165.5,561.7,766.8
25,18.8,37.2,7,15.8,49.9,67.4,161.8,297.2,432.1,176.7,576.4,769.3
26,18.8,37.2,7,18.3,52.3,69.3,164.5,299.5,438.7,191.4,589.3,771.5
27,18.8,39.8,7.6,18.3,53.6,72.7,166.8,304,445.6,207.9,598.3,771.8
28,18.8,41.5,7.6,18.9,53.9,76.1,170.8,308.2,451.2,222.8,603.8,775.2
29,18.8,,7.6,18.9,53.9,79.6,174.3,310.6,454.5,238,607.1,777.1
30,18.8,,7.6,19.1,55.2,80.4,178.3,317.3,464.3,251.4,612.9,783.4
31,18.8,,7.6,,55.6,,180.6,322.7,,267.3,,787.1
