DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,2.1,13.7,0.3,7.9,27.7,1.9,69,187.9,321.9,5.3,165.4,354.7
2,3.1,13.7,0.3,7.9,28.1,3.5,75.7,190.5,326.5,7.5,170.5,367.3
3,3.5,13.7,0.5,8.4,28.5,4.2,78.2,193.5,333.6,13.6,182.9,375.6
4,3.6,13.7,0.5,8.4,29.1,5.7,79,197.1,340.5,15.8,190.8,380.3
5,4.3,13.7,0.5,8.7,30.3,7.6,81.1,200.6,346.8,22.4,198.3,385.9
6,4.4,13.7,1,9.6,32.2,10.4,85.6,203.1,350.3,27.5,205.3,390
7,4.8,14.3,2.2,9.7,38.5,11.7,89.7,206,355.3,34.8,212.6,397
8,6,14.3,2.2,11.4,39.5,12.8,90.8,207.7,360.3,39.7,217.3,399.5
9,6,14.4,2.3,11.4,40.4,13.8,95.5,210.3,363.2,44.2,221.8,402.2
10,6.4,15.3,2.3,11.4,41.7,16.1,98.6,213.4,368.4,46.8,227.4,404.9
11,6.4,15.3,2.3,11.4,44.3,19.2,100.1,220,376.9,50.6,235.2,406.7
12,6.4,15.3,3.3,11.4,49.6,21.4,106.8,224.5,382,56.7,246.8,410.8
13,7.4,16.1,3.3,12.1,50.7,24.5,111.9,228.4,388.7,59.4,261.2,413.4
14,9.4,17,3.8,12.3,52.8,27.2,117.5,240.7,396.5,64.2,268.8,414.5
15,9.5,17.2,3.9,13.8,53.6,30.5,122.6,247.1,401.7,65.7,277.8,417
16,11.6,17.5,4.5,13.8,55,31.5,126.9,252.8,405.5,68.2,287.2,422.6
17,11.6,18.6,4.5,15.3,55.4,34.1,130.9,259.4,411.1,70.9,292.7,425.1
18,12,19.6,4.5,15.7,56.6,34.8,132.7,266.7,419.8,72.2,298.1,427.5
19,12.1,20.5,4.5,16.7,59.4,35.6,137.1,268.2,424.2,78.2,302.4,430.4
20,12.2,20.8,4.5,16.7,66.6,36.9,141,272.2,429.5,83.9,304,431.9
21,12.2,22.3,5.4,17.1,68.4,39.1,145.9,277.4,431.2,87.3,305.5,432.6
22,12.2,23.2,5.7,17.7,70.3,45.4,149.7,281.1,436.4,94,307.9,433.2
23,13,24.5,5.7,20.1,71,50.7,153.1,287.7,440,102.3,310.7,436
24,13,24.5,6.4,20.8,72,53.9,157,289.9,443.2,106.7,316.4,437.9
25,13,24.6,6.9,22.3,74,57.2,160.2,293.6,453.8,111.1,324.6,438.1
26,13,24.6,6.9,24,77.8,58.9,163.7,294.9,457.9,116.6,331,439.6
27,13,26.9,7,24.5,78.4,61.8,166.7,300.8,462.6,124.8,338.7,440
28,13,27.9,7,24.6,80.5,63.8,171.4,305.1,467.3,132.3,344.6,441
29,13,,7,25,80.5,67,172.7,308.1,471.3,147.5,347.3,441.9
30,13,,7,25.7,81.9,67.3,177.7,313.3,483.7,154.4,350.9,444
31,13.7,,7,,84.3,,180.4,317.6,,161.3,,447.2
