DATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,1,15.4,0,7.1,20.3,0,81,175.2,306.1,7.1,283.7,646.4
2,1.2,15.4,0,8.4,20.4,2.4,84.1,177.1,309.2,8.6,303.2,654.8
3,1.2,15.4,0.1,8.4,20.4,4,86.7,181.9,312.2,13.6,318.4,668.4
4,1.7,15.4,0.9,8.9,21.8,7.1,87.9,185,315.8,19,331.3,676.6
5,1.9,15.4,1.3,9.4,23.3,13.2,90.7,191.8,324.3,25.9,346.1,687.3
6,2.1,15.4,1.4,10.3,23.7,14.2,93.7,197,327.8,28.2,362.2,696.4
7,2.1,16.2,1.4,10.3,27.2,15,97.6,202.7,333.1,34.6,379.1,703.6
8,2.1,16.7,1.4,10.3,32.9,15.7,98.4,205.6,335,38.5,390,709
9,2.8,16.7,1.4,10.3,35.8,17.6,101.9,209.2,339.2,42.2,397.1,714
10,2.8,17.6,2.4,11.1,39.9,17.9,104.3,211.4,344.5,48,405.1,720.5
11,3,17.6,2.9,11.1,40.2,20.3,106.7,218.6,349.2,53.7,415,723.6
12,3.4,17.6,4.4,11.8,42.3,22,110.3,222.6,351.3,57,439,731.1
13,7.2,18,4.4,12.5,43.8,25.8,114.1,224.4,356,61.3,470,736.5
14,8.5,18.8,4.4,13.4,43.9,38.5,116.3,229,360.4,67.7,489.2,743.1
15,9.8,19,4.8,14.3,43.9,43.2,120.6,236.6,363,71.2,505.3,746.5
16,10.8,20.3,4.9,14.3,44.7,43.7,124.5,240,366.8,81.7,520.7,750.6
17,12,23.3,4.9,14.3,45.3,46.1,127.5,244.7,370.9,91.8,532,752.2
18,12.5,23.3,5.1,14.4,45.3,47.7,130,249.2,373.2,97.7,541.6,754.6
19,13.1,23.3,5.4,14.4,46.4,48.9,132.1,253.2,379.7,107.8,548,758.6
20,13.4,23.3,7.1,14.4,49.1,49.4,134.1,260.2,383.2,119,552.6,765.5
21,13.5,23.3,7.1,14.4,49.1,51.7,137.9,266.2,386.4,125,556.5,768.5
22,13.5,24.3,7.1,15.4,49.6,55.7,141.3,268.4,388.2,133.6,566.1,771.4
23,13.6,24.6,7.1,16.7,49.6,60.5,144.4,273.8,391.9,142.2,575.3,773.2
24,13.6,25.8,7.1,16.7,51.9,63.3,148.4,278.7,399.4,156.1,586.3,783.6
25,13.8,26.3,7.1,18.5,51.9,66.5,150.9,283.3,410,165.8,601.4,784.5
26,14,27.3,7.1,19.1,53.5,67.3,155.5,285.4,413.4,179.3,615.9,786.6
27,14,27.8,7.1,19.1,53.7,69.6,158.6,289.8,416.6,201.4,626.8,787.2
28,14,28.4,7.1,19.6,54.4,72.2,163.8,291.6,424.2,216.7,632.8,791.1
29,14.2,,7.1,19.6,55.2,75.5,167.2,293.5,431.1,234.9,636.3,792.6
30,15.4,,7.1,19.6,55.9,78,170.3,299.6,438.3,252.8,640.5,797.5
31,15.4,,7.1,,56,,171.2,302.6,,269,,801
